Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Wet_Tim,100.0,94.0,50.0,56.0,93.0,32.0,114.0,121.0,80.0,73.0,96.0,79.0,106.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,89.0,103.0,43.0,91.0,103.0,105.0,112.0,51.0,65.0,79.0,80.0,75.0,121.0,88.0,126.0,99.0,74.0,148.0,49.0,126.0,59.0
FA_Dur,7.0,nan,nan,nan,2.0,3.0,7.0,2.0,2.0,nan,4.0,4.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,2.0,nan,4.0,5.0,4.0,nan,nan,4.0,6.0,2.0,nan,4.0,6.0,nan,6.0,3.0,nan,nan,nan,nan
Wet_BFL_Mag_10,36.1,8.550000000000011,11.0,3.2,75.4,23.0,8.3,3.3499999999999996,1.7,13.8,18.0,15.0,3.8400000000000007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.700000000000003,33.6,59.10000000000001,58.2,43.400000000000006,15.0,7.300000000000001,12.46,11.79,10.120000000000001,23.72,19.44,4.997,5.128,27.0,17.380000000000003,11.76,4.7,2.692,1.9249999999999998,4.654999999999999
Wet_BFL_Mag_50,160.5,75.0,30.0,8.2,227.0,58.5,175.0,4.4,2.9,63.0,36.0,84.0,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137.5,228.0,182.0,150.0,82.0,123.0,28.0,23.9,24.950000000000003,25.5,99.6,94.8,15.65,33.1,76.5,56.2,47.900000000000006,20.2,15.2,3.0149999999999997,9.45
Wet_BFL_Dur,92.0,62.0,153.0,76.0,83.0,178.0,79.0,76.0,149.0,129.0,87.0,82.0,69.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.0,65.0,78.0,137.0,93.0,59.0,95.0,127.0,154.0,73.0,115.0,127.0,32.0,63.0,51.0,99.0,104.0,51.0,39.0,86.0,76.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996,3507.3999999999996
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0,3431.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2374.0
Peak_Dur_20,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,1.0,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_20,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.0,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_20,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005
Peak_Dur_50,4.0,nan,nan,nan,1.0,1.0,1.0,nan,nan,3.0,nan,6.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,4.0,4.0,5.0,1.0,1.0,nan,nan,nan,nan,1.0,1.0,nan,nan,2.0,nan,4.0,nan,nan,nan,nan
Peak_Fre_50,3.0,nan,nan,nan,1.0,1.0,1.0,nan,nan,2.0,nan,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,2.0,3.0,3.0,1.0,1.0,nan,nan,nan,nan,1.0,1.0,nan,nan,2.0,nan,3.0,nan,nan,nan,nan
Peak_50,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0
Dur_2,18.0,6.0,2.0,nan,18.0,8.0,14.0,nan,nan,11.0,4.0,12.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,11.0,18.0,27.0,2.0,7.0,2.0,nan,5.0,5.0,12.0,10.0,1.0,6.0,6.0,7.0,14.0,1.0,3.0,nan,2.0
Fre_2,7.0,5.0,2.0,nan,6.0,4.0,8.0,nan,nan,5.0,2.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,6.0,5.0,7.0,2.0,5.0,2.0,nan,3.0,3.0,6.0,5.0,1.0,3.0,2.0,3.0,6.0,1.0,2.0,nan,2.0
High_2,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977,471.5599999999977
Dur_5,40.0,16.0,9.0,1.0,47.0,26.0,33.0,nan,nan,27.0,10.0,26.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,34.0,34.0,53.0,12.0,19.0,9.0,5.0,13.0,10.0,30.0,38.0,4.0,14.0,13.0,17.0,24.0,3.0,6.0,nan,6.0
Fre_5,5.0,3.0,6.0,1.0,7.0,9.0,4.0,nan,nan,5.0,4.0,5.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,9.0,8.0,8.0,4.0,5.0,4.0,4.0,3.0,4.0,8.0,13.0,2.0,5.0,3.0,6.0,6.0,2.0,3.0,nan,4.0
High_5,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854,216.84999999999854
Dur_10,61.0,36.0,33.0,7.0,86.0,65.0,62.0,nan,nan,51.0,28.0,46.0,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.0,56.0,68.0,95.0,45.0,39.0,22.0,19.0,29.0,20.0,63.0,68.0,7.0,21.0,23.0,34.0,45.0,7.0,10.0,2.0,14.0
Fre_10,4.0,6.0,5.0,3.0,6.0,8.0,5.0,nan,nan,8.0,5.0,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,4.0,6.0,7.0,8.0,3.0,5.0,7.0,7.0,6.0,5.0,6.0,2.0,3.0,2.0,6.0,7.0,3.0,2.0,1.0,4.0
High_10,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Dur_20,110.0,74.0,77.0,22.0,124.0,142.0,106.0,nan,2.0,119.0,60.0,87.0,45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128.0,107.0,110.0,171.0,112.0,67.0,48.0,58.0,82.0,47.0,117.0,123.0,20.0,41.0,45.0,86.0,94.0,23.0,19.0,4.0,24.0
Fre_20,4.0,5.0,6.0,3.0,4.0,10.0,4.0,nan,1.0,5.0,5.0,7.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,7.0,1.0,5.0,3.0,5.0,4.0,8.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,7.0,6.0,5.0,2.0,1.0,3.0
High_20,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
