Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
DS_Dur_WS,144.0,54.0,152.0,166.0,112.0,167.0,210.0,258.0,189.0,96.0,270.0,304.0,112.0,179.0,167.0,297.0,115.0,140.0,277.0,199.0,167.0,350.0,232.0,170.0,204.0,nan,159.0,200.0,242.0,279.0,261.0,225.0,192.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,50.0,nan,44.0,41.0,45.0,nan,10.0,nan,nan,nan,50.0,nan,36.0,39.0,nan,37.0,nan,nan,36.0,nan,nan,41.0,48.0,nan,nan,0.0,nan,nan,nan,64.0,57.0,39.0
FA_Mag,nan,4.6935906853803,nan,17.98363816767236,2.1731249159100514,1.0612571620474736,nan,1.0195008860010881,nan,nan,nan,6.292947040137596,nan,1.7829488401009432,5.240082578178658,nan,56.97950449887224,nan,nan,11.955271016518196,nan,nan,3.0982647035973216,8.197252694906528,nan,nan,3.859859984412429,nan,nan,nan,8.390956782139309,4.895967057644671,4.023139858283233
Wet_Tim,35.0,85.0,34.0,98.0,86.0,71.0,90.0,117.0,122.0,86.0,25.0,120.0,115.0,41.0,69.0,38.0,54.0,40.0,103.0,90.0,47.0,73.0,100.0,83.0,56.0,117.0,nan,97.0,90.0,116.0,110.0,153.0,107.0
FA_Dur,nan,3.0,nan,3.0,6.0,7.0,nan,3.0,nan,nan,nan,10.0,nan,4.0,4.0,nan,5.0,nan,nan,4.0,nan,nan,6.0,4.0,nan,nan,10.0,nan,nan,nan,16.0,10.0,5.0
Wet_BFL_Mag_10,0.9,2.55,3.3,2.45,1.7000000000000002,1.8,1.5500000000000007,12.0,3.0,1.4,nan,1.7,2.3,1.1,1.1,nan,6.280000000000001,3.4000000000000004,2.74,3.1,1.6,1.5,5.19,3.1,2.2,1.4,nan,16.0,6.4,4.22,3.0,2.0,17.700000000000003
Wet_BFL_Mag_50,1.2,14.0,4.5,3.9,2.4,3.0,2.6,35.0,5.550000000000001,2.4,nan,1.95,3.6,1.4,2.0,nan,15.0,4.0,111.0,4.4,8.65,5.75,41.0,6.6,4.25,2.7,nan,57.5,12.0,62.0,5.2,9.1,41.0
Wet_BFL_Dur,179.0,86.0,180.0,86.0,137.0,155.0,112.0,71.0,88.0,127.0,nan,16.0,96.0,146.0,126.0,nan,153.0,147.0,48.0,65.0,96.0,18.0,74.0,80.0,136.0,73.0,nan,104.0,92.0,45.0,64.0,44.0,108.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985,3405.5999999999985
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan
Peak_5,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986,1937.9999999999986
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan
Peak_10,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002,1454.0000000000002
Peak_Dur_20,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,1.0
Peak_Fre_20,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0
Peak_20,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002,1138.0000000000002
Peak_Dur_50,nan,6.0,nan,nan,nan,1.0,nan,14.0,1.0,nan,nan,4.0,nan,nan,nan,7.0,4.0,nan,17.0,1.0,1.0,nan,7.0,1.0,1.0,nan,nan,8.0,1.0,6.0,nan,nan,7.0
Peak_Fre_50,nan,4.0,nan,nan,nan,1.0,nan,6.0,1.0,nan,nan,1.0,nan,nan,nan,3.0,3.0,nan,4.0,1.0,1.0,nan,4.0,1.0,1.0,nan,nan,3.0,1.0,1.0,nan,nan,2.0
Peak_50,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
Dur_2,nan,12.0,nan,1.0,nan,1.0,1.0,31.0,3.0,nan,nan,14.0,1.0,1.0,1.0,14.0,14.0,nan,41.0,2.0,2.0,3.0,18.0,2.0,5.0,2.0,nan,30.0,3.0,17.0,1.0,1.0,21.0
Fre_2,nan,3.0,nan,1.0,nan,1.0,1.0,7.0,2.0,nan,nan,2.0,1.0,1.0,1.0,3.0,5.0,nan,4.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,nan,7.0,1.0,3.0,1.0,1.0,9.0
High_2,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913,81.45999999999913
Dur_5,nan,30.0,2.0,5.0,nan,4.0,4.0,66.0,6.0,nan,nan,26.0,2.0,1.0,3.0,27.0,52.0,nan,75.0,6.0,5.0,5.0,47.0,4.0,7.0,3.0,nan,99.0,12.0,39.0,3.0,2.0,77.0
Fre_5,nan,3.0,2.0,3.0,nan,3.0,3.0,5.0,4.0,nan,nan,3.0,1.0,1.0,2.0,3.0,10.0,nan,2.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,nan,4.0,5.0,3.0,2.0,2.0,6.0
High_5,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Dur_10,nan,78.0,7.0,11.0,2.0,9.0,6.0,122.0,14.0,1.0,1.0,54.0,3.0,5.0,11.0,79.0,123.0,2.0,114.0,11.0,20.0,8.0,90.0,15.0,23.0,3.0,1.0,147.0,56.0,67.0,11.0,11.0,146.0
Fre_10,nan,3.0,5.0,7.0,1.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,5.0,2.0,1.0,4.0,6.0,6.0,3.0,4.0,3.0
High_10,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Dur_20,nan,177.0,40.0,38.0,11.0,27.0,17.0,185.0,38.0,3.0,2.0,99.0,12.0,7.0,22.0,141.0,225.0,11.0,170.0,44.0,82.0,23.0,146.0,60.0,72.0,6.0,7.0,210.0,158.0,150.0,40.0,43.0,203.0
Fre_20,nan,3.0,5.0,6.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,4.0,1.0,3.0,5.0,1.0,5.0,4.0,1.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0
High_20,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
