Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,44.94602739726027,47.67005464480875,36.508136986301366,49.80191780821918,23.08268493150685,21.1077868852459,8.617205479452055,8.849342465753425,17.858931506849316,11.308196721311473,28.911342465753425,29.58002739726027,6.589287671232877,14.61653005464481,10.886931506849313,15.966931506849313,25.76545205479452,4.0136612021857925,nan,0.7241643835616438,4.826931506849315
Std,135.13338137974102,121.93783689065008,114.05453680518039,120.84909075164816,57.77986675870892,73.61595732193209,27.609993989153022,25.61146469749847,53.07410145925824,45.663282603958194,71.49876535847893,68.37676884390996,28.23505915559564,53.79562890538226,51.23700595883258,44.434534445701885,79.1381093353841,17.254225576849308,nan,4.50269194068438,25.78602553275961
CV,3.0065700842779757,2.557954627894035,3.1240853743913606,2.4265951206341603,2.5031692340019744,3.487620835009889,3.204054267359616,2.8941658430119226,2.971852007994044,4.038069351756234,2.473035122570732,2.31158571713301,4.284994154810176,3.680465110683859,4.706285322599647,2.7829100680140617,3.071481500386011,4.298874445967901,nan,6.217776022812495,5.342115481889432
SP_Tim,262.0,168.0,121.0,198.0,196.0,164.0,207.0,178.0,218.0,152.0,194.0,202.0,153.0,151.0,177.0,198.0,178.0,199.0,nan,187.0,135.0
SP_Mag,18.0,243.0,679.0,120.0,225.0,202.0,14.0,129.0,208.0,552.0,126.0,104.0,317.0,270.0,18.0,103.0,653.0,268.0,nan,9.99,91.9
SP_Dur,10.0,45.0,33.0,58.0,42.0,49.0,36.0,35.0,23.0,39.0,21.0,65.0,18.0,35.0,12.0,56.0,39.0,40.0,nan,58.0,17.0
SP_ROC,0.07368421052631571,0.06944444444444445,0.06486676016830295,0.07692307692307693,0.058823529411764705,0.05941176470588233,0.0500312695434646,0.05272407732864687,0.0659166993959116,0.058631952220977945,0.07692307692307689,0.04809884847793859,0.10098039215686269,0.049073064340239836,0.04638487582860225,0.046449119021934576,0.04976190476190473,0.050506338800601985,nan,0.05357142857142862,0.07410455899005988
DS_Tim,272.0,213.0,154.0,256.0,238.0,213.0,243.0,213.0,241.0,191.0,215.0,267.0,171.0,186.0,189.0,254.0,217.0,239.0,nan,245.0,152.0
DS_Mag_90,6.2,6.15,10.0,6.0,3.370000000000002,3.6400000000000037,0.46300000000000013,2.5950000000000006,3.63,2.55,6.895,4.155,3.06,3.5949999999999998,2.776,2.525,6.176,nan,nan,0.0,1.088
DS_Mag_50,0.41,0.82,0.92,1.8,0.7,0.36,0.1,0.19,0.26,0.13,0.295,0.52,0.24,0.355,0.35,0.27,0.69,nan,nan,0.0,0.0
DS_Dur_WS,195.0,196.0,303.0,211.0,234.0,264.0,178.0,218.0,191.0,255.0,226.0,226.0,281.0,306.0,273.0,176.0,305.0,nan,nan,180.0,273.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,32.0,68.0,0.0,1.0,65.0,90.0,0.0,0.0,0.0,nan,nan,164.0,140.0
FA_Tim,59.0,72.0,nan,57.0,61.0,nan,nan,nan,38.0,39.0,nan,nan,44.0,9.0,nan,74.0,54.0,nan,nan,nan,nan
FA_Mag,7.786007017281544,82.98140739033728,nan,36.00448458540817,17.999367451007764,nan,nan,nan,84.0817327509174,1.8735987764847573,nan,nan,2.0880851499397908,1.0246893200277878,nan,5.133788860457647,15.096940532317562,nan,nan,nan,nan
Wet_Tim,87.0,101.0,43.0,91.0,101.0,106.0,111.0,55.0,65.0,66.0,80.0,75.0,127.0,86.0,126.0,96.0,64.0,156.0,nan,138.0,59.0
FA_Dur,2.0,7.0,nan,5.0,6.0,nan,nan,nan,6.0,5.0,nan,nan,2.0,-1.0,nan,2.0,2.0,nan,nan,nan,nan
Wet_BFL_Mag_10,9.3,61.599999999999994,5.54,30.0,28.0,3.9600000000000004,2.45,5.048,6.105999999999999,1.56,9.588000000000001,11.200000000000001,2.34,1.77,7.33,4.539000000000006,4.455,1.662,nan,0.11800000000000001,1.23
Wet_BFL_Mag_50,19.0,147.0,46.5,72.0,45.0,63.5,9.0,10.7,9.88,7.62,43.95,50.9,16.6,16.5,25.3,21.4,19.1,10.1,nan,1.09,2.56
Wet_BFL_Dur,175.0,67.0,78.0,107.0,95.0,58.0,96.0,123.0,153.0,86.0,114.0,127.0,26.0,65.0,51.0,102.0,114.0,43.0,nan,49.0,76.0
Peak_Dur_2,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,nan,1168.0,1168.0
Peak_Dur_5,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,nan,1120.0,1120.0
