Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
Avg,2.232876712328767,53.99480874316939,12.526301369863011,9.045753424657534,4.685479452054795,34.81748633879781,7.141369863013699,100.61424657534248,8.962191780821918,2.788251366120219,1.6323287671232878
Std,4.71399707645804,167.02811222544935,32.62487107020551,33.770495589753445,12.02321875180217,166.81279458541948,25.59640200074513,308.1466375977328,34.485191511027764,10.461344337970148,9.519226185966136
CV,2.1111766047940916,3.0934105724854377,2.6045095121771205,3.733298267637886,2.566059434222776,4.791063690302556,3.5842425881500697,3.062654127882227,3.8478524399379843,3.7519373127849818,5.831684387172944
SP_Tim,155.0,171.0,214.0,185.0,155.0,122.0,236.0,189.0,147.0,136.0,122.0
SP_Mag,3.5,653.0,22.0,130.0,28.0,842.0,24.0,1320.0,348.0,103.0,76.0
SP_Dur,96.0,66.0,38.0,18.0,77.0,115.0,19.0,41.0,48.0,107.0,89.0
SP_ROC,0.1180555555555556,0.07692307692307693,0.11324786324786329,0.14285714285714285,0.19999999999999996,0.1,0.11111111111111108,0.05326241134751773,0.06316489361702125,0.1333333333333333,0.19999999999999996
DS_Tim,251.0,237.0,252.0,203.0,232.0,237.0,255.0,230.0,195.0,243.0,211.0
DS_Mag_90,2.0,6.0,2.4,1.2,0.4,2.1,2.280000000000001,19.700000000000017,2.6,0.2,0.2
DS_Mag_50,0.2,1.4,0.7,0.3,0.2,1.5,0.3,2.9,1.0,0.1,0.1
DS_Dur_WS,197.0,184.0,217.0,221.0,206.0,225.0,223.0,262.0,275.0,172.0,204.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,87.0
FA_Tim,25.0,65.0,45.0,44.0,nan,nan,nan,65.0,nan,58.0,nan
FA_Mag,2.2747654329915257,173.98981004304252,11.98932413552376,35.95458945597913,nan,nan,nan,5.46608468990281,nan,1.8222150780012645,nan
Wet_Tim,41.0,82.0,55.0,103.0,58.0,72.0,96.0,112.0,126.0,104.0,49.0
FA_Dur,9.0,5.0,2.0,5.0,nan,nan,nan,6.0,nan,20.0,nan
Wet_BFL_Mag_10,1.0,21.6,5.7,1.6,1.1,0.2,2.5,9.6,4.4,2.6,0.2
Wet_BFL_Mag_50,2.8499999999999996,58.0,8.7,4.8,10.0,67.0,5.5,90.0,40.0,4.1,1.5
Wet_BFL_Dur,114.0,89.0,159.0,82.0,97.0,50.0,140.0,77.0,21.0,32.0,73.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_2,3326.000000000001,3326.000000000001,3326.000000000001,3326.000000000001,3326.000000000001,3326.000000000001,3326.000000000001,3326.000000000001,3326.000000000001,3326.000000000001,3326.000000000001
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_5,3005.0,3005.0,3005.0,3005.0,3005.0,3005.0,3005.0,3005.0,3005.0,3005.0,3005.0
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan
Peak_10,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0
Peak_Dur_20,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan
Peak_Fre_20,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan
Peak_20,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0
Peak_Dur_50,nan,13.0,nan,1.0,nan,7.0,1.0,26.0,1.0,nan,nan
Peak_Fre_50,nan,6.0,nan,1.0,nan,3.0,1.0,7.0,1.0,nan,nan
Peak_50,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
Dur_2,nan,20.0,2.0,3.0,nan,11.0,1.0,40.0,4.0,nan,nan
Fre_2,nan,6.0,2.0,2.0,nan,3.0,1.0,5.0,3.0,nan,nan
High_2,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5
Dur_5,nan,61.0,14.0,13.0,2.0,25.0,6.0,69.0,9.0,2.0,2.0
Fre_5,nan,7.0,5.0,7.0,1.0,5.0,3.0,6.0,1.0,2.0,2.0
High_5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Dur_10,2.0,110.0,38.0,23.0,10.0,68.0,16.0,110.0,19.0,5.0,3.0
Fre_10,2.0,5.0,4.0,6.0,5.0,4.0,4.0,6.0,2.0,2.0,2.0
High_10,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Dur_20,30.0,156.0,88.0,47.0,69.0,118.0,59.0,170.0,49.0,15.0,9.0
Fre_20,5.0,2.0,8.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0
High_20,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
