Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,nan,44.66420765027322,47.6974794520548,84.42131506849314,24.770739726027397,30.285765027322405,23.547287671232876,43.26208219178083,59.39832876712329,35.70352459016394,29.568301369863015,15.68591780821918,27.99547945205479,43.89371584699454
Std,nan,66.25506231035656,50.04452413987532,104.22288210840709,29.87386889933156,30.651973413493447,28.382046843986277,41.272304894213455,49.82455431085635,55.04591975154117,49.90772830446118,32.95158418531667,66.87711275558739,67.66946256060898
CV,nan,1.4834039557836256,1.0492068913238854,1.2345564864021419,1.2060144036773413,1.012091766076923,1.205321276923962,0.9540064371209253,0.8388208110399568,1.5417503001007895,1.6878794517201714,2.1007112614124845,2.388853988734913,1.5416663013104732
SP_Tim,nan,219.0,265.0,250.0,217.0,232.0,233.0,271.0,259.0,248.0,243.0,217.0,135.0,241.0
SP_Mag,nan,123.0,160.0,137.0,69.8,150.0,87.9,87.4,129.0,54.6,36.0,19.7,394.0,29.5
SP_Dur,nan,73.0,46.0,47.0,60.0,73.0,66.0,49.0,69.0,37.0,48.0,35.0,121.0,36.0
SP_ROC,nan,0.06904761904761905,0.0625,0.062067670539207934,0.057241078249481644,0.07042253521126761,0.05747126436781606,0.059845559845559775,0.053278546951859816,0.05936073059360718,0.06267029972752043,0.06850234098435537,0.0620328716658992,0.08049453196512019
DS_Tim,nan,292.0,311.0,297.0,277.0,305.0,299.0,320.0,328.0,285.0,291.0,252.0,256.0,277.0
DS_Mag_90,nan,13.0,9.558000000000002,6.353999999999999,8.464000000000004,4.104,6.910000000000003,36.76,15.3,4.91,4.91,5.777000000000002,3.422,3.87
DS_Mag_50,nan,2.9,3.83,4.18,2.34,1.78,2.01,3.03,5.94,1.82,3.78,0.92,1.29,1.32
DS_Dur_WS,nan,137.0,107.0,109.0,149.0,87.0,135.0,103.0,143.0,121.0,191.0,154.0,169.0,148.0
DS_No_Flow,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,39.0,18.0,37.0,34.0,18.0,3.0,13.0,23.0,4.0,nan,0.0,22.0,29.0
FA_Mag,nan,21.980011302831734,22.982470808581652,84.57486039980947,13.614734526052963,98.54041443558158,12.666711933085313,81.71637363184635,173.73495185016225,19.207003581863127,nan,16.8963953567857,67.15972675733997,3.586987806610508
Wet_Tim,nan,56.0,63.0,52.0,40.0,60.0,26.0,68.0,57.0,105.0,40.0,116.0,40.0,59.0
FA_Dur,nan,4.0,5.0,2.0,5.0,4.0,4.0,4.0,8.0,0.0,nan,8.0,4.0,5.0
Wet_BFL_Mag_10,nan,36.0,30.1,42.220000000000006,13.36,14.360000000000001,6.33,23.620000000000008,35.97,24.080000000000002,15.600000000000001,8.82,10.28,16.85
Wet_BFL_Mag_50,nan,69.0,66.5,123.5,34.5,45.1,26.0,63.4,84.1,61.2,33.3,31.2,41.9,63.7
Wet_BFL_Dur,nan,163.0,202.0,198.0,177.0,172.0,207.0,203.0,202.0,143.0,203.0,101.0,95.0,182.0
Peak_Dur_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,nan,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001,887.1600000000001
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,nan,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001,854.4000000000001
Peak_Dur_10,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,nan,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003,773.7000000000003
Peak_Dur_20,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan
Peak_Fre_20,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_20,nan,577.2,577.2,577.2,577.2,577.2,577.2,577.2,577.2,577.2,577.2,577.2,577.2,577.2
Peak_Dur_50,nan,2.0,nan,13.0,nan,nan,nan,nan,nan,2.0,2.0,1.0,6.0,9.0
Peak_Fre_50,nan,1.0,nan,4.0,nan,nan,nan,nan,nan,1.0,2.0,1.0,3.0,5.0
Peak_50,nan,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5
Dur_2,nan,6.0,6.0,36.0,2.0,nan,nan,2.0,7.0,9.0,5.0,2.0,9.0,15.0
Fre_2,nan,3.0,3.0,8.0,1.0,nan,nan,2.0,4.0,3.0,3.0,1.0,3.0,4.0
High_2,nan,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004,190.96000000000004
Dur_5,nan,10.0,27.0,83.0,5.0,3.0,3.0,11.0,24.0,17.0,13.0,8.0,15.0,26.0
Fre_5,nan,4.0,7.0,14.0,3.0,1.0,3.0,6.0,9.0,3.0,4.0,5.0,5.0,4.0
High_5,nan,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
Dur_10,nan,39.0,42.0,135.0,8.0,9.0,10.0,29.0,72.0,31.0,19.0,11.0,22.0,46.0
Fre_10,nan,12.0,8.0,9.0,5.0,3.0,4.0,9.0,19.0,9.0,4.0,4.0,8.0,7.0
High_10,nan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dur_20,nan,85.0,93.0,173.0,31.0,45.0,30.0,99.0,147.0,69.0,32.0,17.0,35.0,85.0
