Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DS_Dur_WS,163.0,202.0,252.0,262.0,205.0,231.0,221.0,202.0,224.0,219.0,175.0,156.0,176.0,248.0,282.0,202.0,202.0,225.0,256.0,274.0,246.0,254.0,209.0,202.0,215.0,302.0,196.0,196.0,219.0,222.0,155.0,188.0,215.0,238.0,254.0,257.0,297.0,187.0,211.0,196.0,176.0,370.0,204.0,244.0
DS_No_Flow,111.0,99.0,55.0,70.0,101.0,174.0,1.0,86.0,64.0,141.0,101.0,0.0,131.0,130.0,101.0,125.0,155.0,120.0,255.0,167.0,106.0,87.0,166.0,128.0,92.0,139.0,0.0,127.0,86.0,131.0,122.0,141.0,125.0,121.0,75.0,187.0,168.0,99.0,104.0,65.0,145.0,255.0,179.0,163.0
FA_Tim,nan,nan,nan,63.0,nan,0.0,nan,51.0,39.0,64.0,44.0,nan,0.0,nan,55.0,nan,nan,nan,23.0,nan,nan,29.0,72.0,nan,72.0,nan,56.0,61.0,nan,28.0,nan,nan,nan,18.0,nan,71.0,nan,nan,nan,nan,43.0,nan,nan,nan
FA_Mag,nan,nan,nan,2229.9639403936562,nan,10.992730934223404,nan,937.9506151007384,58.99196885409843,388.9173433051769,527.985633328966,nan,15.008125228263939,nan,502.96891972820936,nan,nan,nan,25.99880928571139,nan,nan,7.978294032698288,191.97876186683567,nan,381.9814843767829,nan,697.9848322462492,295.9902499974864,nan,66.99577880428087,nan,nan,nan,256.99494661202283,nan,131.9784615757939,nan,nan,nan,nan,34.40038033742664,nan,nan,nan
Wet_Tim,70.0,37.0,44.0,112.0,119.0,81.0,73.0,94.0,81.0,109.0,77.0,45.0,36.0,41.0,118.0,117.0,61.0,73.0,95.0,143.0,122.0,85.0,110.0,90.0,103.0,43.0,98.0,104.0,105.0,96.0,39.0,32.0,73.0,63.0,74.0,113.0,85.0,110.0,5.0,72.0,100.0,52.0,nan,57.0
FA_Dur,nan,nan,nan,6.0,nan,4.0,nan,6.0,3.0,2.0,14.0,nan,4.0,nan,4.0,nan,nan,nan,8.0,nan,nan,10.0,5.0,nan,23.0,nan,5.0,6.0,nan,10.0,nan,nan,nan,6.0,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan
Wet_BFL_Mag_10,6.59,35.7,51.2,25.6,5.1000000000000005,2.5400000000000005,202.8,75.8,58.7,43.0,101.80000000000001,71.4,105.80000000000003,32.0,82.0,15.2,9.08,19.0,3.6100000000000003,0.0,21.0,159.80000000000004,12.35,164.2,143.2,55.400000000000006,370.0,62.400000000000006,102.80000000000004,34.800000000000004,31.439999999999998,0.662,25.6,40.010000000000005,46.72,11.3,5.105,14.770000000000001,13.74,42.58,7.085,0.0,nan,14.91
Wet_BFL_Mag_50,53.5,318.5,179.0,531.0,13.0,6.65,499.0,156.0,370.0,119.0,266.0,569.0,221.0,77.0,560.0,48.0,37.0,50.0,22.5,237.5,163.5,600.0,67.0,508.0,470.0,430.0,1800.0,186.0,630.0,224.0,68.75,137.0,61.0,415.0,183.0,34.4,174.5,171.5,126.0,261.0,31.549999999999997,125.5,nan,35.7
Wet_BFL_Dur,62.0,138.0,143.0,64.0,79.0,90.0,128.0,89.0,80.0,66.0,119.0,169.0,54.0,141.0,51.0,43.0,149.0,107.0,48.0,36.0,56.0,97.0,36.0,87.0,53.0,77.0,49.0,93.0,59.0,63.0,140.0,187.0,79.0,114.0,115.0,41.0,66.0,48.0,193.0,107.0,100.0,50.0,nan,78.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,19670.000000000004,nan,19670.000000000004
Peak_Dur_5,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,17400.0,nan,17400.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,15490.000000000007,nan,15490.000000000007
Peak_Dur_20,nan,1.0,nan,2.0,nan,nan,2.0,nan,1.0,nan,1.0,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,1.0,nan,2.0,nan,nan,2.0,nan,1.0,nan,1.0,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_20,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,nan,10000.0
Peak_Dur_50,nan,6.0,3.0,3.0,nan,nan,11.0,nan,8.0,nan,2.0,10.0,nan,nan,4.0,nan,nan,nan,nan,1.0,2.0,3.0,nan,5.0,nan,4.0,5.0,nan,1.0,nan,nan,1.0,1.0,6.0,1.0,nan,2.0,nan,2.0,2.0,nan,nan,nan,nan
Peak_Fre_50,nan,4.0,2.0,2.0,nan,nan,5.0,nan,4.0,nan,2.0,7.0,nan,nan,2.0,nan,nan,nan,nan,1.0,2.0,1.0,nan,3.0,nan,3.0,2.0,nan,1.0,nan,nan,1.0,1.0,4.0,1.0,nan,2.0,nan,2.0,2.0,nan,nan,nan,nan
Peak_50,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,nan,5030.0
Dur_2,2.0,18.0,10.0,8.0,nan,nan,26.0,6.0,14.0,2.0,6.0,30.0,4.0,1.0,17.0,1.0,nan,1.0,nan,5.0,2.0,17.0,1.0,13.0,8.0,15.0,27.0,1.0,9.0,4.0,1.0,2.0,3.0,19.0,9.0,nan,8.0,1.0,13.0,15.0,nan,3.0,nan,2.0
Fre_2,2.0,7.0,6.0,5.0,nan,nan,8.0,4.0,3.0,2.0,3.0,8.0,3.0,1.0,5.0,1.0,nan,1.0,nan,3.0,2.0,7.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0,1.0,2.0,2.0,8.0,3.0,nan,3.0,1.0,5.0,6.0,nan,2.0,nan,2.0
High_2,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,nan,1740.0
Dur_5,6.0,40.0,27.0,26.0,nan,nan,48.0,15.0,26.0,8.0,22.0,76.0,12.0,6.0,29.0,2.0,3.0,1.0,1.0,12.0,11.0,42.0,7.0,35.0,20.0,29.0,46.0,7.0,27.0,16.0,7.0,17.0,5.0,43.0,31.0,1.0,14.0,6.0,35.0,30.0,3.0,7.0,nan,6.0
Fre_5,2.0,9.0,7.0,9.0,nan,nan,10.0,5.0,3.0,2.0,8.0,10.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0,2.0,8.0,7.0,7.0,7.0,4.0,5.0,6.0,3.0,7.0,3.0,6.0,6.0,1.0,4.0,2.0,7.0,8.0,3.0,2.0,nan,3.0
High_5,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,702.8499999999985,nan,702.8499999999985
Dur_10,10.0,74.0,56.0,53.0,1.0,1.0,98.0,33.0,50.0,24.0,65.0,117.0,24.0,17.0,47.0,5.0,8.0,5.0,3.0,19.0,21.0,74.0,11.0,66.0,47.0,57.0,96.0,27.0,44.0,33.0,15.0,38.0,17.0,78.0,65.0,3.0,29.0,11.0,70.0,61.0,7.0,13.0,nan,15.0
Fre_10,2.0,7.0,7.0,5.0,1.0,1.0,10.0,7.0,5.0,6.0,10.0,5.0,6.0,6.0,6.0,2.0,4.0,3.0,2.0,3.0,4.0,6.0,2.0,4.0,5.0,5.0,9.0,7.0,5.0,5.0,4.0,9.0,4.0,5.0,3.0,2.0,3.0,3.0,6.0,5.0,4.0,2.0,nan,4.0
High_10,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,nan,302.0
Dur_20,22.0,112.0,117.0,100.0,5.0,2.0,148.0,84.0,101.0,54.0,147.0,167.0,69.0,62.0,90.0,24.0,32.0,28.0,9.0,39.0,60.0,113.0,25.0,126.0,92.0,97.0,175.0,88.0,76.0,62.0,45.0,131.0,49.0,128.0,109.0,11.0,58.0,41.0,125.0,109.0,33.0,32.0,nan,28.0
Fre_20,3.0,2.0,5.0,3.0,2.0,2.0,1.0,6.0,5.0,7.0,6.0,4.0,2.0,9.0,5.0,4.0,7.0,7.0,3.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,8.0,5.0,4.0,6.0,4.0,4.0,3.0,3.0,7.0,4.0,5.0,2.0,nan,3.0
High_20,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,nan,97.0
