Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Avg,1.505095890410959,18.351726027397262,22.765561643835618,7.473797814207648,3.0616986301369864,11.750767123287671,1.6204109589041094,1.047295081967213,0.6967123287671233,0.7918082191780822,1.3832876712328765,3.1019125683060107,12.82435616438356,1.5204109589041097,nan,nan,nan,23.384356164383558,8.347095890410959
Std,3.654950675845,55.783183654795685,44.97552751934612,13.593944913410812,6.498345067900363,42.928964184881806,8.845790460564205,2.8177645007663594,1.6174534820390756,2.5206986455842464,6.763096651276362,11.433921354647682,44.30982130450913,4.192811277228591,nan,nan,nan,78.37858229210148,24.570204972447122
CV,2.428383931635767,3.039669596827953,1.9755949017635788,1.8188804743377989,2.1224639825538985,3.653290354108472,5.458979656954831,2.690516311289785,2.321551399702173,3.1834711796763084,4.889146915658293,3.6860875678684506,3.455130279956554,2.75768288348218,nan,nan,nan,3.351752844556781,2.9435632817724153
SP_Tim,204.0,186.0,215.0,171.0,181.0,165.0,177.0,205.0,239.0,242.0,180.0,161.0,152.0,232.0,nan,nan,nan,149.0,196.0
SP_Mag,3.7,202.0,32.0,22.0,19.0,108.0,8.8,9.1,0.68,17.0,107.0,35.0,151.0,2.7,nan,nan,nan,183.0,26.0
SP_Dur,16.0,54.0,49.0,74.0,138.0,39.0,107.0,67.0,43.0,101.0,119.0,121.0,135.0,45.0,nan,nan,nan,109.0,68.0
SP_ROC,0.08333333333333323,0.08831168831168829,0.06497890295358649,0.08831168831168831,0.10416666666666667,0.08166666666666665,0.09090909090909098,0.25454545454545463,0.25000000000000006,0.3333333333333333,0.13188405797101446,0.12347560975609748,0.08514492753623178,0.175,nan,nan,nan,0.06403940886699502,0.05777777777777778
DS_Tim,220.0,240.0,264.0,245.0,319.0,204.0,284.0,272.0,282.0,343.0,299.0,282.0,287.0,277.0,nan,nan,nan,258.0,264.0
DS_Mag_90,2.4500000000000055,2.9900000000000007,2.53,1.1200000000000019,2.1700000000000017,1.95,0.15,0.03,0.06,0.5290000000000001,0.42099999999999993,0.7340000000000009,0.832,nan,nan,nan,nan,2.6569999999999996,2.2
DS_Mag_50,0.11499999999999999,0.59,0.675,0.53,0.48,0.63,0.08,0.0,0.02,0.08,0.05,0.04,0.17,nan,nan,nan,nan,1.1,0.86
DS_Dur_WS,218.0,202.0,138.0,149.0,164.0,266.0,94.0,118.0,93.0,142.0,180.0,168.0,129.0,nan,nan,nan,nan,210.0,204.0
DS_No_Flow,27.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,1.0,0.0,nan,nan,nan,nan,0.0,0.0
FA_Tim,19.0,6.0,24.0,0.0,10.0,6.0,0.0,nan,13.0,nan,30.0,25.0,20.0,14.0,nan,nan,nan,8.0,23.0
FA_Mag,2.3852307479879973,2.7896264359939726,13.990287268590649,1.5999869522854056,9.774917877187525,2.0962956038189353,1.301977968079803,nan,1.4856855381699698,nan,2.986281836804566,60.96432697568182,1.2735485205459594,4.9201415413223675,nan,nan,nan,1.6640243184242747,4.75318814050277
Wet_Tim,106.0,72.0,76.0,36.0,28.0,117.0,104.0,12.0,24.0,9.0,119.0,113.0,84.0,50.0,nan,nan,nan,90.0,102.0
FA_Dur,6.0,0.0,5.0,1.0,4.0,2.0,0.0,nan,5.0,nan,8.0,5.0,4.0,5.0,nan,nan,nan,4.0,2.0
Wet_BFL_Mag_10,0.817,3.13,4.54,5.98,1.72,3.64,0.594,0.252,0.03,0.21,0.13,0.244,5.9799999999999995,0.631,nan,nan,nan,6.5200000000000005,5.33
Wet_BFL_Mag_50,2.1,20.0,32.0,12.0,3.6,27.5,1.5,0.94,0.54,0.52,0.36,6.5,20.5,1.1,nan,nan,nan,59.0,15.0
Wet_BFL_Dur,98.0,114.0,139.0,135.0,153.0,48.0,73.0,193.0,215.0,233.0,61.0,48.0,68.0,182.0,nan,nan,nan,59.0,94.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
