Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,52.352109589041085,78.636,14.152164383561646,24.09800546448087,25.10504109589041,50.473863013698626,46.17175342465754,21.48467213114754,17.260712328767124,5.728794520547946,20.239561643835618,35.68081967213115
Std,58.04890966317869,105.78243601729649,13.715218363828502,25.578310069702184,49.885842582879064,56.61590649842823,42.16967310198458,32.94262536404937,27.00698201022852,7.838579873754573,45.61024455127403,64.18951216519513
CV,1.1088170107920565,1.3452163896599076,0.9691251452505261,1.0614285114759061,1.9870846812134941,1.121687604593741,0.913321889990522,1.533308265677026,1.5646504904214193,1.368277365445607,2.253519387123959,1.7989920846838328
SP_Tim,265.0,237.0,151.0,234.0,221.0,251.0,254.0,209.0,191.0,187.0,135.0,167.0
SP_Mag,113.0,285.0,56.8,78.3,79.4,119.0,84.2,122.0,49.9,23.8,377.0,478.0
SP_Dur,53.0,63.0,133.0,87.0,63.0,73.0,79.0,53.0,66.0,100.0,47.0,84.0
SP_ROC,0.040165002171081154,0.035148386506435536,0.031021117348302582,0.03770734597156403,0.035709734964322136,0.03609341825902334,0.031245932124593236,0.039669700033704056,0.03956521739130431,0.04214304214304215,0.03241835215830493,0.04246284501061571
DS_Tim,318.0,300.0,284.0,321.0,284.0,324.0,333.0,262.0,257.0,287.0,182.0,251.0
DS_Mag_90,12.1,11.99,6.23,11.3,12.620000000000001,15.2,16.8,8.176000000000002,4.314000000000001,3.7,11.639999999999999,8.795
DS_Mag_50,6.83,7.915,3.02,6.55,5.36,6.93,7.55,3.37,3.0,0.595,2.64,2.465
DS_Dur_WS,123.0,132.0,141.0,179.0,179.0,101.0,187.0,148.0,232.0,126.0,245.0,176.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,18.0,34.0,44.0,11.0,32.0,12.0,23.0,4.0,nan,nan,0.0,nan
FA_Mag,34.58263072631375,15.503228348548129,18.49286933570995,5.448437524405509,29.69778916974431,42.780009126047034,51.50729680178326,21.97439520046364,nan,nan,2.9726821003084427,nan
Wet_Tim,63.0,75.0,66.0,59.0,134.0,97.0,59.0,154.0,44.0,123.0,47.0,61.0
FA_Dur,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,nan,nan,3.0,nan
Wet_BFL_Mag_10,27.54,65.41,9.356,9.682,30.439999999999998,53.78,26.68,12.6,16.119999999999997,3.7910000000000013,6.666,5.76
Wet_BFL_Mag_50,68.55000000000001,132.0,15.5,37.0,51.0,83.55000000000001,65.0,60.8,24.5,10.7,22.15,47.2
Wet_BFL_Dur,202.0,162.0,85.0,175.0,87.0,154.0,195.0,55.0,147.0,64.0,88.0,106.0
Peak_Dur_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999,890.8999999999999
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998,790.2499999999998
Peak_Dur_10,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
