Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DS_Dur_WS,266.0,152.0,250.0,225.0,232.0,175.0,250.0,181.0,235.0,183.0,nan,nan,263.0,240.0,213.0,216.0,185.0,118.0,204.0,246.0,174.0,175.0,nan,nan,nan,nan,nan,189.0,201.0,249.0,154.0,219.0,280.0,227.0,253.0,252.0,280.0,214.0,243.0,204.0,145.0,215.0,294.0,237.0,259.0,215.0,177.0,nan,nan,259.0
DS_No_Flow,203.0,144.0,232.0,122.0,155.0,175.0,190.0,102.0,144.0,167.0,nan,nan,139.0,197.0,106.0,198.0,85.0,0.0,129.0,189.0,11.0,175.0,nan,nan,nan,nan,nan,63.0,201.0,0.0,0.0,0.0,0.0,75.0,158.0,177.0,178.0,174.0,217.0,152.0,127.0,215.0,238.0,223.0,167.0,97.0,177.0,nan,nan,159.0
FA_Tim,nan,66.0,nan,nan,60.0,nan,nan,46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.0,nan,72.0,48.0,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Mag,nan,37.99488416978264,nan,nan,1.2664828046420247,nan,nan,48.96420124437223,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.99088997560703,5.390592323988791,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0256981252783726,nan,24.96223503992166,9.700770477538063,9.999941151151903,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_Tim,47.0,102.0,62.0,104.0,92.0,50.0,78.0,96.0,32.0,117.0,81.0,nan,95.0,94.0,128.0,46.0,81.0,105.0,36.0,46.0,126.0,15.0,92.0,nan,nan,nan,nan,86.0,54.0,92.0,104.0,65.0,99.0,102.0,105.0,126.0,76.0,67.0,84.0,84.0,74.0,54.0,92.0,126.0,99.0,134.0,48.0,71.0,nan,62.0
FA_Dur,nan,21.0,nan,nan,22.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,4.0,26.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,1.1,2.0,0.0,0.41800000000000015,1.5,1.24,0.0,10.9,1.7,2.431000000000001,0.0,nan,4.59,2.7,3.32,0.8240000000000001,2.960000000000001,37.0,2.6500000000000004,1.15,4.48,0.4,0.969,nan,nan,nan,nan,9.940000000000001,0.83,6.94,8.2,4.45,11.8,4.78,0.25200000000000006,1.4,nan,0.0,0.997,5.134,2.885,0.0,1.2530000000000001,0.0,2.586000000000002,4.716000000000001,0.0,0.0,nan,0.0
Wet_BFL_Mag_50,2.0,12.0,1.1,44.0,7.8,2.7,0.98,27.5,4.6,13.5,0.3,nan,19.5,5.1,60.0,2.1,13.0,80.0,8.35,2.0,40.0,1.3,1.4,nan,nan,nan,nan,33.0,1.3,22.0,44.5,20.0,107.0,6.4,4.0,5.8,nan,15.15,1.5,16.55,4.92,0.82,9.77,2.74,12.2,18.4,0.6,0.0,nan,2.355
Wet_BFL_Dur,86.0,106.0,110.0,47.0,67.0,168.0,75.0,80.0,156.0,60.0,115.0,nan,90.0,109.0,33.0,158.0,115.0,108.0,54.0,136.0,44.0,175.0,64.0,nan,nan,nan,nan,95.0,169.0,85.0,64.0,56.0,49.0,95.0,120.0,33.0,nan,28.0,68.0,94.0,116.0,99.0,60.0,69.0,98.0,45.0,153.0,17.0,nan,74.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,nan,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,nan,nan,nan,nan,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,1242.7999999999975,nan,1242.7999999999975
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,nan,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,nan,nan,nan,nan,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,883.8999999999994,nan,883.8999999999994
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,nan,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,nan,nan,nan,nan,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,738.2,nan,738.2
Peak_Dur_20,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,8.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,3.0,nan,5.0,1.0,4.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,5.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,2.0,nan,4.0,1.0,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_20,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,nan,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,nan,nan,nan,nan,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,319.20000000000005,nan,319.20000000000005
Peak_Dur_50,nan,3.0,nan,6.0,nan,nan,nan,5.0,nan,nan,nan,nan,6.0,nan,6.0,nan,5.0,24.0,1.0,nan,9.0,nan,nan,nan,nan,nan,nan,6.0,nan,9.0,7.0,10.0,25.0,nan,2.0,1.0,nan,1.0,nan,2.0,1.0,nan,2.0,nan,3.0,2.0,nan,1.0,nan,nan
Peak_Fre_50,nan,3.0,nan,4.0,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,1.0,nan,3.0,5.0,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,4.0,4.0,3.0,2.0,nan,2.0,1.0,nan,1.0,nan,2.0,1.0,nan,2.0,nan,1.0,2.0,nan,1.0,nan,nan
Peak_50,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,nan,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,nan,nan,nan,nan,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,nan,158.0
Dur_2,nan,7.0,nan,25.0,3.0,nan,nan,16.0,1.0,2.0,nan,nan,15.0,3.0,16.0,nan,11.0,67.0,2.0,nan,18.0,nan,nan,nan,nan,nan,nan,22.0,nan,21.0,17.0,16.0,42.0,1.0,5.0,1.0,nan,5.0,2.0,11.0,4.0,nan,5.0,nan,7.0,10.0,nan,2.0,nan,3.0
Fre_2,nan,4.0,nan,6.0,2.0,nan,nan,5.0,1.0,1.0,nan,nan,4.0,1.0,5.0,nan,3.0,6.0,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,4.0,6.0,3.0,4.0,1.0,2.0,1.0,nan,3.0,1.0,5.0,2.0,nan,1.0,nan,3.0,4.0,nan,1.0,nan,2.0
High_2,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,nan,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,nan,nan,nan,nan,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,nan,64.0
Dur_5,nan,23.0,1.0,49.0,14.0,3.0,nan,47.0,6.0,14.0,nan,nan,33.0,4.0,36.0,1.0,31.0,140.0,12.0,1.0,36.0,1.0,2.0,nan,nan,nan,nan,64.0,1.0,54.0,47.0,43.0,92.0,5.0,15.0,4.0,3.0,11.0,5.0,33.0,15.0,nan,14.0,3.0,18.0,23.0,nan,4.0,nan,8.0
Fre_5,nan,6.0,1.0,3.0,4.0,2.0,nan,7.0,2.0,8.0,nan,nan,6.0,1.0,2.0,1.0,4.0,6.0,4.0,1.0,2.0,1.0,1.0,nan,nan,nan,nan,6.0,1.0,3.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,6.0,4.0,nan,4.0,2.0,2.0,3.0,nan,1.0,nan,2.0
High_5,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,nan,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,nan,nan,nan,nan,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,nan,27.0
Dur_10,4.0,67.0,1.0,82.0,27.0,14.0,nan,86.0,27.0,39.0,nan,nan,78.0,12.0,64.0,4.0,94.0,180.0,31.0,4.0,62.0,4.0,3.0,nan,nan,nan,nan,109.0,3.0,107.0,98.0,99.0,152.0,15.0,35.0,10.0,7.0,17.0,8.0,65.0,45.0,nan,27.0,6.0,56.0,71.0,nan,6.0,nan,12.0
Fre_10,1.0,7.0,1.0,1.0,2.0,4.0,nan,5.0,5.0,5.0,nan,nan,7.0,3.0,2.0,2.0,6.0,5.0,8.0,2.0,3.0,2.0,1.0,nan,nan,nan,nan,4.0,1.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,4.0,6.0,nan,3.0,2.0,7.0,6.0,nan,1.0,nan,3.0
High_10,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,nan,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,nan,nan,nan,nan,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,nan,12.0
Dur_20,18.0,135.0,5.0,109.0,83.0,59.0,1.0,136.0,115.0,78.0,nan,nan,138.0,96.0,120.0,38.0,165.0,257.0,119.0,17.0,114.0,10.0,5.0,nan,nan,nan,nan,162.0,13.0,151.0,151.0,158.0,209.0,106.0,59.0,39.0,20.0,49.0,26.0,133.0,122.0,3.0,67.0,21.0,104.0,137.0,2.0,9.0,nan,23.0
Fre_20,4.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0,7.0,2.0,nan,nan,2.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,nan,nan,nan,nan,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,2.0,6.0,4.0,1.0,5.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,nan,3.0
High_20,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,nan,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,nan,nan,nan,nan,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,4.084000000000015,nan,4.084000000000015
