Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993
DS_Dur_WS,130.0,160.0,164.0,154.0,121.0,256.0,181.0,212.0,211.0,123.0,210.0,232.0,108.0,207.0,145.0,131.0,177.0,168.0,140.0,165.0,180.0,116.0,143.0,226.0,217.0,61.0,145.0,242.0,172.0,269.0,132.0,158.0,126.0,126.0,197.0,270.0,142.0,210.0,124.0,204.0,228.0,201.0,139.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,1.0,45.0,17.0,nan,50.0,29.0,9.0,49.0,nan,6.0,55.0,11.0,10.0,28.0,nan,nan,44.0,11.0,15.0,22.0,43.0,10.0,22.0,27.0,9.0,nan,29.0,51.0,24.0,63.0,6.0,22.0,nan,nan,22.0,nan,nan,33.0,nan,nan,25.0,29.0
FA_Mag,nan,50.99318395400594,83.99815871783801,58.99380138564721,nan,383.98358082995077,249.97452420424744,398.95249017779577,41.99883014146836,nan,34.00208078604212,199.99889001847174,1099.8327382248272,100.9795191170866,74.01473780579106,nan,nan,67.96017085121814,33.998383733084424,45.883565673315445,69.00188359332051,83.95074073984898,104.9921331076511,649.9971574496919,56.993963315974774,68.97222510970609,nan,39.99852454880075,73.99904179016914,375.900478604927,423.9876225372516,28.927082609155562,51.99987621203282,nan,nan,75.99137692651506,nan,nan,114.94240791697038,nan,nan,27.978614408783308,65.98640582333853
Wet_Tim,21.0,37.0,57.0,94.0,33.0,61.0,132.0,99.0,87.0,109.0,51.0,117.0,116.0,30.0,51.0,31.0,39.0,98.0,65.0,67.0,31.0,76.0,30.0,31.0,110.0,133.0,33.0,69.0,127.0,77.0,103.0,38.0,54.0,26.0,25.0,103.0,112.0,46.0,138.0,17.0,144.0,122.0,84.0
FA_Dur,nan,5.0,3.0,6.0,nan,5.0,2.0,2.0,3.0,nan,2.0,10.0,6.0,3.0,10.0,nan,nan,2.0,3.0,4.0,10.0,7.0,4.0,5.0,7.0,8.0,nan,3.0,6.0,3.0,2.0,0.0,4.0,nan,nan,6.0,nan,nan,3.0,nan,nan,5.0,5.0
Wet_BFL_Mag_10,125.60000000000001,122.0,153.0,106.6,65.4,127.0,107.90000000000006,328.0,77.6,101.60000000000001,61.800000000000004,75.7,117.60000000000001,63.0,94.8,93.0,92.80000000000001,104.5,122.60000000000001,176.0,133.20000000000002,64.0,80.0,296.8,87.0,54.0,16.0,287.0,124.0,149.3,135.4,256.0,162.6,149.0,82.3,184.79999999999998,84.0,57.8,91.0,29.0,25.0,69.0,213.39999999999998
Wet_BFL_Mag_50,256.0,429.0,269.0,522.0,93.0,600.0,252.5,1305.0,248.0,207.5,193.5,337.0,372.5,93.0,192.0,328.0,379.0,256.0,498.5,494.0,332.0,176.0,441.0,564.0,510.0,90.0,21.0,516.0,261.5,244.0,349.0,430.0,911.5,296.5,127.0,699.0,146.5,132.0,573.0,63.5,236.5,391.0,400.0
Wet_BFL_Dur,199.0,188.0,199.0,97.0,175.0,87.0,102.0,88.0,99.0,134.0,120.0,68.0,84.0,86.0,150.0,155.0,185.0,74.0,120.0,97.0,150.0,117.0,146.0,155.0,101.0,64.0,209.0,123.0,96.0,68.0,77.0,161.0,160.0,146.0,164.0,63.0,56.0,209.0,42.0,226.0,42.0,81.0,163.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989,8975.999999999989
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999,6381.999999999999
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002,5598.000000000002
Peak_Dur_20,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.0,nan,nan,2.0,nan,1.0,nan,nan,5.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,1.0,nan,1.0,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_20,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001,4262.000000000001
Peak_Dur_50,nan,3.0,nan,nan,nan,9.0,1.0,17.0,nan,nan,nan,1.0,2.0,nan,2.0,nan,1.0,nan,2.0,6.0,2.0,nan,2.0,13.0,1.0,nan,nan,11.0,nan,4.0,nan,2.0,12.0,1.0,nan,7.0,nan,nan,3.0,nan,nan,1.0,nan
Peak_Fre_50,nan,2.0,nan,nan,nan,5.0,1.0,6.0,nan,nan,nan,1.0,1.0,nan,1.0,nan,1.0,nan,2.0,3.0,1.0,nan,2.0,4.0,1.0,nan,nan,5.0,nan,1.0,nan,1.0,4.0,1.0,nan,2.0,nan,nan,1.0,nan,nan,1.0,nan
Peak_50,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0,2410.0
Dur_2,2.0,6.0,6.0,4.0,nan,17.0,6.0,40.0,5.0,2.0,nan,5.0,5.0,1.0,9.0,3.0,7.0,5.0,6.0,15.0,6.0,nan,10.0,23.0,9.0,nan,nan,22.0,2.0,6.0,3.0,9.0,43.0,7.0,2.0,14.0,1.0,1.0,4.0,2.0,nan,7.0,5.0
Fre_2,2.0,3.0,3.0,4.0,nan,4.0,2.0,6.0,3.0,1.0,nan,2.0,2.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,nan,3.0,6.0,5.0,nan,nan,7.0,1.0,1.0,3.0,4.0,11.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,nan,2.0,3.0
High_2,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0
Dur_5,15.0,19.0,17.0,22.0,1.0,38.0,9.0,66.0,11.0,7.0,11.0,13.0,18.0,2.0,22.0,16.0,23.0,7.0,24.0,24.0,18.0,5.0,34.0,53.0,25.0,nan,nan,38.0,3.0,19.0,5.0,24.0,90.0,18.0,2.0,30.0,4.0,3.0,9.0,5.0,nan,18.0,19.0
Fre_5,4.0,5.0,3.0,8.0,1.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,6.0,1.0,4.0,6.0,5.0,1.0,7.0,3.0,4.0,3.0,5.0,8.0,6.0,nan,nan,8.0,1.0,2.0,3.0,5.0,6.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,nan,4.0,8.0
High_5,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996,842.1499999999996
Dur_10,43.0,67.0,35.0,54.0,4.0,52.0,27.0,90.0,16.0,13.0,27.0,22.0,41.0,3.0,44.0,37.0,64.0,13.0,77.0,47.0,41.0,12.0,65.0,95.0,51.0,4.0,nan,69.0,7.0,36.0,17.0,52.0,117.0,34.0,4.0,47.0,10.0,15.0,27.0,10.0,2.0,32.0,56.0
Fre_10,7.0,7.0,7.0,8.0,2.0,4.0,5.0,7.0,2.0,3.0,5.0,3.0,6.0,1.0,4.0,7.0,7.0,2.0,6.0,5.0,7.0,2.0,7.0,8.0,5.0,3.0,nan,8.0,2.0,3.0,5.0,9.0,6.0,5.0,1.0,4.0,3.0,3.0,3.0,5.0,1.0,5.0,9.0
High_10,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0
Dur_20,79.0,133.0,88.0,107.0,20.0,95.0,53.0,149.0,38.0,35.0,60.0,60.0,73.0,10.0,67.0,100.0,115.0,29.0,133.0,88.0,105.0,26.0,112.0,174.0,100.0,13.0,nan,135.0,37.0,64.0,58.0,151.0,152.0,76.0,28.0,71.0,17.0,33.0,41.0,18.0,21.0,61.0,125.0
Fre_20,6.0,7.0,8.0,4.0,3.0,4.0,5.0,7.0,4.0,6.0,5.0,4.0,7.0,5.0,4.0,7.0,6.0,4.0,4.0,3.0,6.0,3.0,4.0,4.0,4.0,2.0,nan,4.0,8.0,7.0,5.0,6.0,4.0,8.0,5.0,3.0,3.0,5.0,2.0,5.0,3.0,4.0,7.0
High_20,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0
