Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
Avg,10.131232876712328,7.267671232876712,60.28169398907104,7.39890410958904,53.052876712328775,8.189041095890412,5.312568306010929,1.4301369863013698,20.67917808219178,19.907397260273974,5.3207650273224045,28.175342465753424,6.422739726027398,49.686027397260276,3.753005464480874,90.83583561643836,13.78068493150685,10.913945205479452,5.003469945355191,29.84465753424658
Std,34.85999174565899,17.04612425482961,312.185683009037,31.422269372177027,176.03906672177195,45.13289466976701,23.095891941021574,5.4511852407692,96.56201416782052,85.93972099041675,13.142100848619283,76.8560757410068,21.943060890883583,151.81852269128308,5.632296626077426,307.2653936492665,74.50203849980724,25.115209315390977,20.946079311076986,85.74326324880543
CV,3.4408439890655593,2.3454726704915023,5.178780859503313,4.2468815525604,3.318181362272158,5.511377234682154,4.34740611520978,3.811652515097238,4.669528633295949,4.316974231579382,2.469964522232031,2.727777872954831,3.416464285787871,3.0555576817891152,1.5007429856904033,3.382645093360724,5.406265281450043,2.3012035375421935,4.186310608405193,2.872985329130197
SP_Tim,213.0,223.0,121.0,234.0,188.0,142.0,214.0,222.0,176.0,206.0,242.0,198.0,151.0,207.0,231.0,191.0,159.0,243.0,132.0,180.0
SP_Mag,78.0,50.0,1100.0,509.0,1960.0,660.0,62.0,6.6,77.0,225.0,3.6,337.0,18.0,448.0,4.9,254.0,147.0,20.0,59.0,227.0
SP_Dur,54.0,42.0,136.0,34.0,79.0,101.0,34.0,24.0,25.0,59.0,30.0,54.0,86.0,72.0,29.0,50.0,27.0,27.0,95.0,72.0
SP_ROC,0.12347560975609756,0.12310606060606065,0.067816091954023,0.12250000000000003,0.07229965156794428,0.10714285714285708,0.14285714285714285,0.20833333333333334,0.06458333333333333,0.08750000000000002,0.19999999999999996,0.08077042559801177,0.10263157894736841,0.0634938409854423,0.17424242424242423,0.045454545454545456,0.062499999999999965,0.14254486884491485,0.07692307692307698,0.058823529411764705
DS_Tim,267.0,265.0,257.0,268.0,267.0,243.0,248.0,246.0,201.0,265.0,272.0,252.0,237.0,279.0,260.0,241.0,186.0,270.0,227.0,252.0
DS_Mag_90,0.0,0.030000000000001137,3.4,2.5,2.5,0.5,0.0,0.3,4.1,1.680000000000001,0.8300000000000012,3.6000000000000005,0.07000000000000171,1.9200000000000017,5.079999999999998,15.0,8.4,0.44999999999999996,2.9400000000000035,3.4200000000000017
DS_Mag_50,0.0,0.0,0.7,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,2.2,0.165,0.0,0.0,0.0
DS_Dur_WS,155.0,168.0,236.0,209.0,221.0,228.0,151.0,239.0,275.0,132.0,168.0,155.0,184.0,125.0,205.0,207.0,230.0,164.0,234.0,209.0
DS_No_Flow,144.0,151.0,72.0,122.0,0.0,154.0,150.0,181.0,147.0,73.0,134.0,73.0,165.0,11.0,130.0,0.0,85.0,136.0,142.0,114.0
FA_Tim,64.0,46.0,nan,66.0,nan,nan,nan,nan,62.0,nan,nan,40.0,nan,nan,nan,45.0,16.0,nan,nan,45.0
FA_Mag,21.952308617112404,28.96122066018114,nan,9.974852810937241,nan,nan,nan,nan,40.983536743107194,nan,nan,30.8972696684866,nan,nan,nan,3.4042681404060224,4.4298842143729615,nan,nan,32.99942827632465
Wet_Tim,105.0,56.0,67.0,127.0,111.0,122.0,105.0,33.0,119.0,110.0,31.0,74.0,41.0,55.0,38.0,99.0,82.0,50.0,68.0,95.0
FA_Dur,4.0,5.0,nan,7.0,nan,nan,nan,nan,20.0,nan,nan,13.0,nan,nan,nan,10.0,4.0,nan,nan,2.0
Wet_BFL_Mag_10,2.1400000000000006,1.4,1.6500000000000004,2.8,17.6,2.0,1.9600000000000002,0.0,2.0,0.4,2.1,9.5,2.1,3.0,1.5,82.0,6.1,6.2,1.0,12.0
Wet_BFL_Mag_50,12.0,8.3,36.0,6.8,64.0,19.5,4.6,1.1,43.0,19.5,4.0,24.0,7.3,18.0,5.6,160.5,16.0,10.0,6.7,57.0
Wet_BFL_Dur,108.0,167.0,54.0,107.0,77.0,20.0,109.0,189.0,57.0,96.0,211.0,124.0,110.0,152.0,193.0,92.0,77.0,193.0,64.0,85.0
Peak_Dur_2,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007,3584.2000000000007
Peak_Dur_5,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005,3350.5000000000005
Peak_Dur_10,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
Peak_10,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014,2403.0000000000014
Peak_Dur_20,nan,nan,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan
Peak_Fre_20,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan
Peak_20,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007,1480.0000000000007
Peak_Dur_50,nan,nan,8.0,nan,9.0,1.0,nan,nan,3.0,2.0,nan,1.0,nan,2.0,nan,9.0,1.0,nan,nan,3.0
Peak_Fre_50,nan,nan,2.0,nan,5.0,1.0,nan,nan,1.0,1.0,nan,1.0,nan,1.0,nan,4.0,1.0,nan,nan,3.0
Peak_50,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5
Dur_2,4.0,nan,12.0,2.0,20.0,3.0,2.0,nan,7.0,6.0,nan,12.0,2.0,25.0,nan,37.0,2.0,2.0,nan,11.0
Fre_2,3.0,nan,4.0,1.0,7.0,2.0,1.0,nan,3.0,4.0,nan,5.0,2.0,9.0,nan,9.0,2.0,2.0,nan,6.0
High_2,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999,197.6199999999999
Dur_5,9.0,5.0,23.0,5.0,46.0,7.0,6.0,1.0,17.0,13.0,3.0,26.0,5.0,53.0,nan,93.0,7.0,9.0,6.0,33.0
Fre_5,6.0,5.0,5.0,3.0,9.0,3.0,3.0,1.0,4.0,6.0,3.0,6.0,3.0,6.0,nan,5.0,4.0,7.0,1.0,9.0
High_5,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
Dur_10,24.0,12.0,69.0,13.0,92.0,14.0,8.0,2.0,38.0,41.0,12.0,56.0,9.0,97.0,3.0,124.0,19.0,26.0,9.0,70.0
Fre_10,6.0,8.0,11.0,6.0,9.0,4.0,3.0,1.0,7.0,9.0,5.0,9.0,3.0,8.0,3.0,6.0,6.0,9.0,2.0,6.0
High_10,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Dur_20,53.0,59.0,165.0,44.0,143.0,29.0,21.0,7.0,68.0,95.0,33.0,141.0,35.0,144.0,20.0,171.0,68.0,75.0,18.0,125.0
Fre_20,6.0,12.0,3.0,6.0,3.0,5.0,7.0,5.0,3.0,3.0,8.0,6.0,6.0,6.0,8.0,3.0,6.0,11.0,2.0,6.0
High_20,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
