Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,0.15095890410958904,9.020765027322405,2.3909589041095893,4.261917808219178,2.115890410958904,0.7401639344262294,1.5405479452054793,11.297808219178082,1.1208219178082193,0.6546448087431694,0.08821917808219179,2.194246575342466,0.21534246575342464,0.9852459016393444,1.2454794520547945,9.336438356164381,12.577534246575343,1.9502732240437157,28.127753424657538,2.5015342465753423,1.2054246575342467,0.95448087431694,3.9908219178082196,1.2795890410958906,0.744027397260274,1.0818032786885245,1.6166301369863014,19.904191780821918,13.640849315068493,32.878961748633884,2.9367671232876713,8.916054794520548,nan,9.32013698630137,3.0657808219178087,6.863013698630137,1.5533150684931507,1.1695901639344262,0.9713424657534248,0.333041095890411,3.528958904109589,2.854890710382514,26.078273972602737,3.1558356164383565,16.44219178082192,1.9313114754098362,1.8373150684931507,12.472493150684931,0.9364109589041097,0.30098360655737705,0.33701369863013697,0.05789041095890412,1.7063287671232876,0.6515300546448087,18.115205479452055,4.1349041095890415,0.2938630136986301,4.16292349726776,1.4720000000000002,4.880547945205478,9.623534246575343,1.4353551912568303,0.3384657534246575,0.36638356164383556,0.425945205479452,0.9732513661202187
Std,0.2076097787411181,14.424815649378619,2.5964676554854984,6.858503502559023,2.371675227608223,1.475778566552953,2.864702471060696,16.872035568869357,2.6465805042633797,0.9426261186293488,0.8378042771169703,3.612435871472596,0.3965401124721174,1.7883352516570459,2.3087831350402475,37.70167996583441,51.29645654617902,1.7495783822145712,66.82235177596421,2.1338078002198855,1.8621096146377238,5.116996122792401,6.728782289929809,1.7634821082679781,1.250449321683492,3.7863860279371355,1.855879332305326,25.335736214924978,17.43743802948382,50.8656482793478,5.3870650726024625,11.989257259765225,nan,16.776928212733324,3.0018435899064326,14.050853733622308,1.1901988883722459,1.1064579908818555,1.4058278331345693,0.6861421322935854,7.067066393438655,4.315474046369226,40.59403067030823,3.7118319038672922,29.13019335773641,2.1700075359919277,2.3234976992168703,15.274698807086617,0.7745475008756914,0.3992337123895028,0.45063925654382897,0.09645888635768796,3.0670160772222204,1.0945999383578469,46.23375337332212,5.897636610842072,0.3758455422719713,5.403113849195792,1.8560444314473858,6.307573028350542,18.592508901036688,1.6211775587880124,1.097898541638198,1.687445038213113,0.4815181440246647,1.2767167065707772
CV,1.3752734889384413,1.5990678845628103,1.0859524398443987,1.609252878911059,1.1208875541590075,1.9938536558079767,1.8595347713625363,1.4933901551124755,2.361285465793531,1.4399046720298065,9.496849725083669,1.6463217543856878,1.8414394535918939,1.8151156464405953,1.8537304097881442,4.038122303987782,4.078419151205747,0.8970939869578777,2.375673263595448,0.8529996353802141,1.5447747837237356,5.361025307557161,1.6860642816217897,1.3781628723216186,1.6806495651746312,3.500068915050239,1.1479925369726371,1.2728844503667043,1.2783249507947712,1.5470576190399705,1.8343521452159663,1.3446818728764818,nan,1.800073135984145,0.9791448783441147,2.0473299851385796,0.7662314700435123,0.9460219699179085,1.4473039969936192,2.0602326282260504,2.0025924317817427,1.5116074428611017,1.5566226013637032,1.1761803702743008,1.7716733721421316,1.1235927314787164,1.264615818517428,1.2246708514927347,0.8271448486486652,1.3264300901829886,1.3371541227420338,1.666232537650549,1.7974356034522736,1.680045196003405,2.552206952648963,1.4263055332202672,1.2789821268811257,1.297913318066499,1.2608997496245826,1.292390342061271,1.9319834506385292,1.1294608948802922,3.243750750347598,4.605678897388666,1.1304696891297525,1.3118057174276534
SP_Tim,227.0,237.0,216.0,222.0,229.0,213.0,239.0,240.0,147.0,187.0,nan,207.0,219.0,237.0,217.0,58.0,72.0,214.0,233.0,213.0,117.0,90.0,241.0,190.0,231.0,345.0,330.0,229.0,242.0,147.0,341.0,219.0,nan,93.0,216.0,195.0,214.0,214.0,188.0,199.0,241.0,222.0,231.0,220.0,219.0,198.0,177.0,249.0,209.0,205.0,213.0,nan,181.0,182.0,235.0,217.0,163.0,193.0,209.0,251.0,208.0,212.0,341.0,309.0,168.0,167.0
SP_Mag,0.8,58.0,10.0,22.0,7.9,2.6,5.4,74.0,5.5,3.0,16.0,13.0,1.8,7.9,11.0,79.0,106.0,6.2,91.0,6.1,8.6,21.0,26.0,5.7,5.5,57.0,2.6,81.0,75.0,480.0,100.0,46.0,nan,53.0,12.0,21.0,4.4,3.4,5.1,6.8,18.0,18.0,74.0,9.4,44.0,10.0,4.5,58.0,1.4,1.6,1.4,nan,7.26,3.72,57.8,21.1,0.93,15.3,6.22,18.2,25.3,8.45,14.9,24.5,1.54,4.15
SP_Dur,120.0,58.0,84.0,64.0,115.0,56.0,54.0,58.0,109.0,96.0,nan,88.0,52.0,70.0,79.0,205.0,278.0,109.0,81.0,70.0,177.0,21.0,81.0,89.0,55.0,nan,70.0,64.0,110.0,172.0,nan,129.0,nan,242.0,99.0,79.0,66.0,66.0,150.0,41.0,91.0,86.0,81.0,66.0,91.0,91.0,103.0,58.0,75.0,64.0,70.0,nan,105.0,94.0,98.0,117.0,53.0,108.0,89.0,72.0,88.0,65.0,nan,15.0,130.0,118.0
SP_ROC,0.29166666666666663,0.054093567251461985,0.06458333333333338,0.06250000000000003,0.1250000000000001,0.14285714285714282,0.07900207900207906,0.05334281650071124,0.07142857142857134,0.09999999999999998,nan,0.06666666666666672,0.14285714285714282,0.0701754385964913,0.06250000000000006,0.05555555555555558,0.059714795008912656,0.11111111111111108,0.04939024390243901,0.04669331395348841,0.05882352941176463,0.04880952380952385,0.05676328502415463,0.07868937048503605,0.07692307692307698,nan,0.06451612903225812,0.047065337763012166,0.05,0.05633802816901401,nan,0.062114197530864196,nan,0.043478260869565216,0.05797101449275352,0.05555555555555555,0.07692307692307698,0.10000000000000009,0.07142857142857134,0.1666666666666666,0.07473404255319152,0.05882352941176463,0.039230769230769236,0.05798319327731083,0.04301075268817208,0.06756756756756763,0.06666666666666672,0.05128205128205128,0.07407407407407414,0.08854166666666666,0.10694805194805199,nan,0.044568245125348106,0.05013966480446932,0.040783597685724954,0.049107142857142995,0.08333333333333323,0.04800000000000004,0.06416688105651325,0.05779220779220784,0.03609711406321579,0.060972587283056004,nan,0.36813186813186816,0.07142857142857137,0.050316455696202536
DS_Tim,347.0,295.0,300.0,286.0,344.0,269.0,293.0,298.0,256.0,283.0,234.0,295.0,271.0,307.0,296.0,263.0,350.0,323.0,314.0,283.0,294.0,111.0,322.0,279.0,286.0,278.0,400.0,293.0,352.0,319.0,301.0,348.0,nan,335.0,315.0,274.0,280.0,280.0,338.0,240.0,332.0,308.0,312.0,286.0,310.0,289.0,280.0,307.0,284.0,269.0,283.0,nan,286.0,276.0,333.0,334.0,216.0,301.0,298.0,323.0,296.0,277.0,nan,324.0,298.0,285.0
DS_Mag_90,4.4,2.8,1.5,1.25,0.0,0.0,3.3,2.9,0.3,0.0,0.2,0.0,0.2,0.6,0.1,1.0400000000000005,1.9,0.28,4.360000000000001,0.45,0.16299999999999998,1.4,0.35,0.38,0.4319999999999999,1.7200000000000017,9.200000000000005,7.05,2.0,4.3,1.8,nan,nan,1.5,0.67,1.9,nan,0.6950000000000008,0.0,0.2630000000000001,0.7480000000000001,0.56,3.0,7.190000000000001,2.2,0.39800000000000013,8.2,6.1,0.0,0.0,nan,nan,0.4730000000000001,1.04,2.3049999999999997,nan,0.125,0.0,0.47,0.6890000000000001,1.73,0.0,nan,0.0,0.2,0.18400000000000036
DS_Mag_50,0.0,0.8,0.0,0.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,3.0,0.17,0.0,0.54,0.0,0.0,0.0,0.54,0.19,3.0,1.8,2.4,0.88,nan,nan,1.1,0.52,1.5,nan,0.0,0.0,0.0,0.19,0.005,1.9,0.42,1.1,0.0,0.66,1.8,0.0,0.0,nan,nan,0.0,0.0,1.6549999999999998,nan,0.0,0.0,0.0,0.07,1.26,0.0,nan,0.0,0.0,0.0
