Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
Avg,32.22767123287671,23.510410958904107,109.83907103825136,28.004383561643838,89.49835616438357,19.639726027397263,14.811748633879782,6.570958904109589,44.34054794520548,53.40630136986301,17.95300546448087,65.17561643835616,25.16520547945205,129.4958904109589,14.486284153005464,187.8053698630137,36.257342465753425,31.708876712328767,16.832431693989072,59.06101369863013
Std,63.227746434887095,27.301892173793906,429.7164261650664,59.47384628341512,166.49523568002516,51.03330564304497,34.50320803493267,12.599022811029101,124.06418201871854,214.40262390739287,21.185879905272422,112.17859016039303,42.965595924843825,299.8329800087367,14.311733592857237,472.3652632672893,100.5022007899451,38.305047109756835,29.178242649050414,94.28182718492774
CV,1.9619086336708684,1.161268181212028,3.9122365302545035,2.1237334559605654,1.860316131105467,2.5984733988576982,2.329448661855593,1.9173796389366335,2.797984864148111,4.014556679792462,1.1800742748721174,1.7211742103965033,1.707341351133659,2.315386064045802,0.9879506325911733,2.5151850749093874,2.771913051401206,1.2080228340243728,1.733453797972047,1.5963462406185305
SP_Tim,213.0,223.0,122.0,235.0,188.0,145.0,218.0,182.0,142.0,211.0,190.0,202.0,195.0,232.0,148.0,120.0,159.0,182.0,137.0,180.0
SP_Mag,227.0,132.0,1110.0,236.0,1690.0,156.0,59.0,37.0,420.0,214.0,62.0,226.0,56.0,370.0,56.0,5300.0,160.0,83.0,40.0,350.0
SP_Dur,82.0,96.0,157.0,60.0,98.0,125.0,53.0,88.0,127.0,76.0,112.0,87.0,79.0,76.0,149.0,155.0,85.0,133.0,129.0,104.0
SP_ROC,0.05555555555555555,0.06458333333333335,0.04196009389671361,0.060180995475113144,0.04173925667828107,0.06186224489795925,0.0625,0.08989898989898991,0.06140350877192982,0.04717400979083222,0.05882352941176463,0.042261904761904764,0.07142857142857138,0.041475535168195715,0.07692307692307693,0.05603448275862069,0.045454545454545456,0.05941176470588235,0.0546594982078853,0.05698051948051948
DS_Tim,295.0,319.0,279.0,295.0,286.0,270.0,271.0,270.0,269.0,287.0,302.0,289.0,274.0,308.0,297.0,275.0,244.0,315.0,266.0,284.0
DS_Mag_90,5.030000000000003,7.4,15.0,16.0,16.0,4.2,1.3400000000000005,4.9,7.6,11.0,13.0,9.38,2.8400000000000034,13.0,30.400000000000006,28.600000000000023,11.0,7.050000000000001,16.0,17.0
DS_Mag_50,2.3,1.3,7.6,6.1,6.3,2.5,0.0,0.0,3.0,5.2,0.6,3.5,1.0,7.1,1.5,9.9,1.55,1.45,1.9,3.3
DS_Dur_WS,130.0,116.0,211.0,183.0,201.0,206.0,124.0,215.0,207.0,111.0,132.0,114.0,144.0,101.0,167.0,168.0,170.0,116.0,194.0,176.0
DS_No_Flow,0.0,1.0,0.0,0.0,0.0,44.0,79.0,121.0,0.0,0.0,5.0,0.0,17.0,0.0,54.0,0.0,0.0,0.0,73.0,4.0
FA_Tim,44.0,42.0,21.0,4.0,13.0,nan,nan,nan,51.0,13.0,11.0,28.0,nan,nan,nan,13.0,16.0,37.0,0.0,20.0
FA_Mag,28.978819672934645,18.980273105510868,3.4719261467192815,14.005564664454873,10.975789685553538,nan,nan,nan,9.90619773187832,22.996642170570283,14.998381220273389,18.031270789800136,nan,nan,nan,8.796939959247307,47.99952306714376,14.996827578823037,2.4982078692592826,4.690107245061064
Wet_Tim,105.0,59.0,69.0,124.0,112.0,121.0,110.0,29.0,119.0,110.0,32.0,68.0,37.0,52.0,43.0,98.0,77.0,48.0,65.0,94.0
FA_Dur,5.0,5.0,7.0,3.0,4.0,nan,nan,nan,5.0,3.0,4.0,7.0,nan,nan,nan,3.0,3.0,6.0,9.0,6.0
Wet_BFL_Mag_10,15.0,13.0,16.2,24.0,56.5,11.0,13.0,4.4,13.200000000000001,5.2,11.0,43.7,17.0,19.900000000000002,10.0,24.3,18.1,25.0,9.2,31.0
Wet_BFL_Mag_50,64.0,35.0,94.0,42.0,105.0,35.0,26.0,7.6,158.0,60.0,17.0,81.0,38.5,105.0,21.0,328.0,54.0,46.5,25.0,116.0
Wet_BFL_Dur,108.0,164.0,53.0,111.0,76.0,24.0,108.0,153.0,23.0,101.0,158.0,134.0,158.0,180.0,105.0,22.0,82.0,134.0,72.0,86.0
Peak_Dur_2,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8,5665.8
Peak_Dur_5,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001,5329.500000000001
Peak_Dur_10,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_10,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0
Peak_Dur_20,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan
Peak_Fre_20,nan,nan,2.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan
Peak_20,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016,2008.0000000000016
Peak_Dur_50,nan,nan,9.0,1.0,5.0,nan,nan,nan,3.0,2.0,nan,3.0,nan,4.0,nan,9.0,1.0,nan,nan,2.0
Peak_Fre_50,nan,nan,2.0,1.0,5.0,nan,nan,nan,1.0,1.0,nan,1.0,nan,3.0,nan,3.0,1.0,nan,nan,2.0
Peak_50,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0
Dur_2,4.0,nan,14.0,2.0,16.0,2.0,1.0,nan,6.0,5.0,nan,7.0,1.0,36.0,nan,43.0,2.0,nan,nan,8.0
Fre_2,3.0,nan,4.0,2.0,5.0,1.0,1.0,nan,2.0,3.0,nan,4.0,1.0,10.0,nan,7.0,1.0,nan,nan,4.0
High_2,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999,349.6199999999999
Dur_5,8.0,1.0,21.0,6.0,46.0,3.0,3.0,nan,9.0,11.0,1.0,23.0,5.0,81.0,nan,122.0,7.0,2.0,3.0,14.0
Fre_5,6.0,1.0,5.0,3.0,6.0,1.0,2.0,nan,3.0,6.0,1.0,7.0,3.0,6.0,nan,4.0,5.0,2.0,2.0,6.0
High_5,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927,211.04999999999927
Dur_10,24.0,6.0,69.0,12.0,88.0,6.0,7.0,1.0,33.0,40.0,4.0,57.0,10.0,118.0,nan,141.0,19.0,12.0,7.0,86.0
Fre_10,8.0,5.0,9.0,4.0,7.0,3.0,3.0,1.0,5.0,7.0,3.0,7.0,4.0,6.0,nan,5.0,5.0,9.0,2.0,9.0
High_10,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
Dur_20,67.0,40.0,167.0,46.0,141.0,30.0,12.0,2.0,91.0,90.0,13.0,148.0,27.0,169.0,6.0,171.0,59.0,63.0,11.0,121.0
Fre_20,5.0,10.0,3.0,7.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,6.0,8.0,5.0,3.0,4.0,7.0,14.0,3.0,4.0
High_20,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
