Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975
Avg,1.5613698630136985,9.784699453551912,3.2221917808219174,6.19917808219178,3.138630136986301,2.891530054644809,2.5413698630136983,17.10356164383562,4.77041095890411,2.2010928961748633,1.4769863013698628,5.207671232876713,2.1624657534246574,2.054918032786885,2.675890410958904,13.536986301369863,17.316712328767125,5.277322404371585,48.84542465753424,6.11945205479452,4.075342465753424,3.0026775956284153,11.644931506849314,7.797808219178082,4.821369863013698
Std,0.69409508461667,10.915752180894323,1.6504297875911178,16.46385079154008,1.532180213182217,7.095862671856037,2.7749097554465774,23.067432142977196,6.399315125674631,1.2524943013750034,0.733889404029377,8.317695037762999,1.4436405472447393,1.693870456802679,3.0087032821541304,35.39818781387914,34.53426601098169,2.994248483012496,251.80847251492375,5.720918570369372,5.54199857185009,3.235567608398013,40.98902703558692,6.613427239611175,2.558645465207325
CV,0.4445423861819347,1.1155940182640798,0.5122071868640066,2.6558118791320675,0.48816845130194597,2.4540165717653872,1.0918952789327305,1.3486917300228545,1.3414599246905814,0.5690329124916227,0.4968830133012848,1.59720048862768,0.66759001614637,0.8243007408453406,1.1243746267904757,2.61492381138755,1.9942738179932784,0.5673802458102891,5.155211041369935,0.9348743186715711,1.3598853638489299,1.077560778789125,3.5199028016161367,0.8481136049673527,0.5306884843736072
SP_Tim,214.0,182.0,68.0,187.0,222.0,122.0,155.0,192.0,145.0,216.0,126.0,141.0,215.0,191.0,207.0,96.0,70.0,166.0,151.0,160.0,66.0,94.0,139.0,187.0,170.0
SP_Mag,6.9,25.0,7.3,16.0,5.0,55.0,11.0,92.0,22.0,4.0,3.0,31.0,3.6,7.4,18.0,63.0,421.0,9.8,1410.0,22.0,10.0,13.0,50.0,17.0,10.0
SP_Dur,90.0,80.0,262.0,81.0,99.0,194.0,134.0,59.0,150.0,75.0,216.0,166.0,78.0,114.0,106.0,158.0,213.0,154.0,58.0,87.0,264.0,205.0,106.0,99.0,181.0
SP_ROC,0.07738095238095229,0.058823529411764705,0.03883861236802408,0.05882352941176463,0.057189542483660115,0.05882352941176463,0.07317073170731704,0.045454545454545456,0.042553191489361736,0.07692307692307698,0.06666666666666672,0.0727272727272728,0.08166666666666665,0.06666666666666672,0.07142857142857134,0.055555555555555684,0.0555555555555556,0.032002048131080416,0.04772727272727273,0.05263157894736842,0.03333333333333336,0.042109929078014224,0.07692307692307693,0.03703703703703707,0.036375661375661325
DS_Tim,304.0,262.0,330.0,268.0,321.0,316.0,289.0,251.0,295.0,291.0,342.0,307.0,293.0,305.0,313.0,254.0,283.0,320.0,209.0,247.0,330.0,299.0,245.0,286.0,351.0
DS_Mag_90,2.3,6.26,2.0,2.8,2.620000000000002,1.6,2.430000000000001,11.0,2.3,1.2900000000000007,1.0,2.1,nan,2.2,1.7,4.1,8.7,3.5,nan,3.25,2.5100000000000007,3.1,7.4,4.2,4.38
DS_Mag_50,0.9,4.9,1.5,2.3,1.8,1.3,1.4,5.1,1.9,1.0,0.7,1.8,nan,1.0,1.25,3.6,6.0,2.6,nan,2.4,2.0,1.8,5.5,3.4,3.1500000000000004
DS_Dur_WS,135.0,138.0,135.0,130.0,149.0,141.0,148.0,238.0,140.0,102.0,70.0,173.0,nan,227.0,92.0,164.0,118.0,148.0,nan,166.0,90.0,187.0,206.0,127.0,62.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,24.0,nan,nan,nan,44.0,nan,13.0,nan,nan,nan,nan,nan,11.0,40.0,nan,nan,nan,61.0,nan,nan,nan,41.0,48.0,nan
FA_Mag,nan,4.654208414382954,nan,nan,nan,3.427297667964085,nan,3.003360884220079,nan,nan,nan,nan,nan,2.3194972905251343,3.8264283324804973,nan,nan,nan,5.3979099255157035,nan,nan,nan,4.097086709264389,29.861205923228145,nan
Wet_Tim,30.0,73.0,34.0,99.0,32.0,104.0,91.0,71.0,123.0,69.0,27.0,46.0,114.0,nan,166.0,39.0,52.0,35.0,102.0,nan,47.0,54.0,120.0,85.0,47.0
