Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964
Avg,88.38356164383562,139.5983606557377,99.27671232876712,84.46301369863014,49.97534246575343,127.23770491803279,71.04657534246576,130.97260273972603,60.53150684931507,58.27322404371585,54.26027397260274,64.0054794520548,99.9013698630137,53.76229508196721
Std,65.87219467385545,144.8325201894118,76.13346341921479,77.50953543963675,31.62870111894825,138.70222379021212,59.84066075882303,138.87678313247952,34.677729131669004,52.686376895461024,31.950572870830566,65.1715121611649,111.87145815089927,25.76863852330232
CV,0.7452991647847873,1.0374944197703153,0.7668813927589524,0.9176742818601775,0.6328861306077578,1.090103156761314,0.8422736841342898,1.0603498764429458,0.5728872604806367,0.9041266852840741,0.5888391364732722,1.018217701345141,1.1198190605824438,0.4793068912704503
SP_Tim,199.0,235.0,214.0,212.0,236.0,239.0,234.0,226.0,211.0,185.0,197.0,219.0,223.0,229.0
SP_Mag,196.0,454.0,344.0,348.0,137.0,333.0,226.0,774.0,157.0,210.0,121.0,241.0,275.0,111.0
SP_Dur,84.0,61.0,103.0,73.0,56.0,55.0,53.0,60.0,84.0,107.0,101.0,72.0,71.0,99.0
SP_ROC,0.03625922887612797,0.04086360266864344,0.032018442622950824,0.03597122302158273,0.04583333333333334,0.038071311237800755,0.03625922887612797,0.05034324942791762,0.03278688524590164,0.038461538461538464,0.03636363636363636,0.04081632653061224,0.042735042735042736,0.034482758620689655
DS_Tim,283.0,296.0,317.0,285.0,292.0,294.0,287.0,286.0,295.0,292.0,298.0,291.0,294.0,328.0
DS_Mag_90,99.0,53.80000000000001,69.0,44.0,32.0,54.0,72.40000000000003,58.5,35.0,31.0,45.0,30.0,47.0,49.0
DS_Mag_50,53.0,46.0,47.0,38.0,28.0,46.0,45.0,46.0,31.0,27.0,29.0,27.0,37.0,28.0
DS_Dur_WS,255.0,153.0,179.0,224.0,135.0,204.0,209.0,156.0,183.0,111.0,241.0,79.0,98.0,64.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,23.0,nan,42.0,39.0,9.0,25.0,4.0,44.0,nan,5.0,55.0,nan,10.0
FA_Mag,nan,101.93576692221745,nan,71.9777766901299,67.94301194874527,51.98911320263743,73.00028765243907,67.96435117664919,116.93557651669789,nan,43.97580673902591,59.86777281236717,nan,103.68882142666999
Wet_Tim,20.0,172.0,83.0,130.0,143.0,61.0,132.0,130.0,76.0,112.0,37.0,173.0,4.0,26.0
FA_Dur,nan,3.0,nan,4.0,9.0,8.0,9.0,3.0,2.0,nan,1.0,8.0,nan,3.0
Wet_BFL_Mag_10,55.400000000000006,135.2,48.0,82.19999999999999,42.0,68.19999999999999,56.1,92.0,48.0,41.0,36.0,67.5,41.8,42.0
Wet_BFL_Mag_50,99.0,414.0,110.0,105.0,86.0,175.5,108.0,185.0,87.0,69.0,57.0,222.0,69.0,52.0
Wet_BFL_Dur,179.0,63.0,131.0,82.0,93.0,178.0,102.0,96.0,135.0,73.0,160.0,46.0,219.0,203.0
Peak_Dur_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998,1189.9999999999998
Peak_Dur_10,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_10,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002,990.0000000000002
Peak_Dur_20,nan,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,2.0,nan
Peak_Fre_20,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,2.0,nan
Peak_20,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001,740.8000000000001
Peak_Dur_50,nan,6.0,1.0,nan,nan,3.0,1.0,5.0,nan,1.0,nan,nan,5.0,nan
Peak_Fre_50,nan,2.0,1.0,nan,nan,2.0,1.0,2.0,nan,1.0,nan,nan,4.0,nan
Peak_50,564.5,564.5,564.5,564.5,564.5,564.5,564.5,564.5,564.5,564.5,564.5,564.5,564.5,564.5
Dur_2,2.0,43.0,3.0,3.0,nan,11.0,3.0,28.0,nan,1.0,nan,nan,10.0,nan
Fre_2,1.0,1.0,2.0,2.0,nan,4.0,1.0,3.0,nan,1.0,nan,nan,4.0,nan
High_2,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0
Dur_5,8.0,69.0,16.0,20.0,nan,48.0,6.0,51.0,1.0,2.0,nan,12.0,24.0,nan
Fre_5,5.0,3.0,5.0,3.0,nan,6.0,2.0,5.0,1.0,2.0,nan,3.0,8.0,nan
High_5,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945,256.84999999999945
Dur_10,38.0,82.0,55.0,43.0,1.0,100.0,16.0,78.0,1.0,10.0,2.0,36.0,55.0,nan
Fre_10,7.0,4.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,4.0,2.0,1.0,7.0,nan
High_10,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0
Dur_20,120.0,116.0,121.0,63.0,30.0,138.0,59.0,113.0,35.0,50.0,22.0,61.0,95.0,14.0
Fre_20,7.0,6.0,4.0,6.0,4.0,7.0,7.0,8.0,6.0,6.0,8.0,2.0,7.0,5.0
High_20,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
