Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,275.34794520547945,302.1475409836066,212.30383561643833,158.84630136986303,128.9567123287671,309.4549180327869,175.15616438356165,275.93698630136987,110.53616438356164,148.52185792349727,104.9731506849315,173.75753424657535,274.7698630136986,152.31092896174863,288.76575342465753,133.42712328767124,291.24383561643833,142.97759562841532,289.5068493150685,231.2945205479452,242.76986301369863,160.32868852459018,212.5068493150685,301.92328767123286,202.1104109589041,82.69918032786886,41.37150684931507,246.86547945205479,153.52739726027397,276.94344262295084,103.13479452054794
Std,662.2881233920693,428.13940465268735,303.0933417175429,269.30058160621087,230.0835327527499,621.3336220642715,282.38424273353525,425.4438892246413,149.41741955836284,240.9866817462363,154.82165521318356,273.795611759169,682.9351213063213,230.9477304445698,739.4820896289284,216.78151896081317,453.96632938514836,204.69383412196942,436.93873189789315,428.650864057973,332.97345596823976,233.58162103462953,329.98112537503084,413.09070234246855,386.77360742230235,98.7136595615196,70.05354788804068,352.4047135763049,290.45639479410227,545.9862329357412,180.50504085936967
CV,2.405277159042659,1.4169878836641487,1.4276394999529385,1.6953531765222687,1.7841919865804756,2.0078324365116114,1.6121855815200583,1.5418153793996452,1.3517514416357241,1.6225671097540881,1.4748690898863115,1.5757337542015986,2.4854804446740713,1.5162912603767915,2.5608372213773203,1.6247185251339669,1.5587156666313513,1.4316497156236179,1.5092517946695467,1.8532685644367337,1.371560093311299,1.456892232975537,1.5528023046720332,1.3681975495453897,1.9136748353895858,1.193647375586551,1.6932800669599122,1.427517182064119,1.8918863992834678,1.9714719646894947,1.7501856836822123
SP_Tim,67.0,270.0,264.0,232.0,244.0,243.0,247.0,262.0,227.0,249.0,234.0,248.0,243.0,235.0,244.0,225.0,264.0,236.0,238.0,241.0,262.0,244.0,232.0,285.0,252.0,221.0,242.0,251.0,236.0,257.0,215.0
SP_Mag,4150.0,1120.0,1390.0,944.0,964.0,1290.0,1040.0,1150.0,634.0,646.0,710.0,928.0,1680.0,1040.0,1000.0,1100.0,1700.0,706.0,1570.0,925.0,1200.0,879.0,1540.0,1800.0,1670.0,462.0,330.0,1370.0,1380.0,894.0,979.0
SP_Dur,264.0,30.0,34.0,69.0,27.0,104.0,30.0,30.0,68.0,57.0,67.0,32.0,31.0,43.0,89.0,107.0,40.0,33.0,62.0,43.0,47.0,39.0,46.0,15.0,51.0,155.0,32.0,57.0,46.0,46.0,53.0
SP_ROC,0.05511811023622047,0.1067671809256662,0.08391608391608392,0.05263157894736842,0.11067193675889328,0.06172839506172839,0.09947832343946753,0.10975609756097561,0.0954356846473029,0.057700290577002905,0.08333333333333333,0.11327849588719155,0.10897435897435898,0.09891304347826088,0.07365291115843613,0.0687293339631554,0.1021671826625387,0.08196721311475409,0.07310817098340511,0.0781758957654723,0.0875460574797347,0.09859154929577464,0.11516284868318528,0.10081053698074974,0.10526315789473684,0.07059800664451826,0.13333333333333333,0.10582524271844661,0.10294117647058823,0.099000099000099,0.12659867249473855
DS_Tim,331.0,300.0,298.0,301.0,271.0,347.0,277.0,292.0,295.0,306.0,301.0,280.0,274.0,278.0,333.0,332.0,304.0,269.0,300.0,284.0,309.0,283.0,278.0,300.0,303.0,376.0,274.0,308.0,282.0,303.0,268.0
DS_Mag_90,90.20000000000002,102.0,79.0,55.0,42.0,50.20000000000002,113.20000000000002,71.1,21.0,69.0,50.30000000000001,62.20000000000002,68.99999999999999,39.0,63.80000000000001,151.60000000000002,60.80000000000001,68.80000000000001,52.0,140.0,68.0,64.0,58.0,83.0,61.400000000000006,15.400000000000006,116.0,49.20000000000002,59.0,33.0,29.0
DS_Mag_50,42.0,19.0,29.0,24.0,22.0,30.0,45.0,19.0,13.0,17.0,20.0,16.0,32.0,25.0,33.0,48.0,34.0,38.5,37.0,55.0,25.0,42.5,26.5,25.0,19.0,6.9,6.8,13.0,9.649999999999999,16.0,8.4
DS_Dur_WS,207.0,161.0,210.0,236.0,158.0,147.0,277.0,170.0,191.0,225.0,238.0,89.0,123.0,145.0,187.0,182.0,177.0,202.0,136.0,249.0,204.0,156.0,120.0,274.0,77.0,167.0,231.0,209.0,170.0,194.0,229.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,42.0,nan,44.0,45.0,nan,26.0,44.0,nan,nan,61.0,33.0,nan,nan,nan,48.0,46.0,2.0,13.0,15.0,35.0,1.0,10.0,nan,64.0,9.0,2.0,52.0,nan,18.0,22.0
FA_Mag,nan,136.99622890204247,nan,54.99895577157931,131.87446136026114,nan,59.99965732620882,323.8658891047673,nan,nan,59.95289933959221,49.0266719370868,nan,nan,nan,250.99864226139783,189.98109978023197,57.99817824777649,61.97821331685408,126.99058286831345,280.91699027690726,100.00227109505576,109.99244068230318,nan,58.9637712007719,85.99285379912342,17.00438098842301,22.994293433395537,nan,144.99017798131345,35.053850316399604
Wet_Tim,21.0,172.0,95.0,142.0,171.0,63.0,128.0,188.0,96.0,120.0,165.0,173.0,3.0,31.0,57.0,154.0,148.0,115.0,105.0,70.0,167.0,147.0,73.0,32.0,208.0,14.0,167.0,139.0,151.0,86.0,131.0
FA_Dur,nan,2.0,nan,6.0,5.0,nan,3.0,2.0,nan,nan,3.0,4.0,nan,nan,nan,3.0,4.0,1.0,4.0,3.0,2.0,5.0,3.0,nan,4.0,5.0,2.0,3.0,nan,3.0,2.0
Wet_BFL_Mag_10,28.5,275.1,78.4,110.0,103.2,100.0,110.60000000000001,265.80000000000007,47.0,48.8,96.4,198.0,56.0,46.0,93.4,90.0,80.0,66.0,60.400000000000006,91.0,174.6,183.8,65.8,109.4,178.6,43.0,31.0,128.4,121.0,103.0,91.9
Wet_BFL_Mag_50,153.0,846.0,195.0,298.5,251.0,221.5,317.0,958.0,167.0,305.0,287.0,598.0,122.5,75.0,169.0,477.0,213.0,278.0,218.0,208.0,505.0,422.0,96.0,230.0,1050.0,61.0,156.0,438.0,278.0,191.0,170.5
Wet_BFL_Dur,46.0,98.0,169.0,90.0,73.0,180.0,119.0,74.0,131.0,129.0,69.0,75.0,240.0,204.0,187.0,71.0,116.0,121.0,133.0,171.0,95.0,97.0,159.0,253.0,44.0,207.0,75.0,112.0,85.0,171.0,84.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0,8612.0
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
