Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995
DS_Dur_WS,189.0,186.0,178.0,101.0,126.0,73.0,137.0,164.0,166.0,132.0,126.0,135.0,172.0,110.0,192.0,60.0,155.0,140.0,147.0,157.0,189.0,161.0,184.0,nan,nan,nan,nan,166.0,202.0,100.0,211.0,186.0,141.0,181.0,nan,nan
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,37.0,56.0,13.0,10.0,28.0,nan,nan,49.0,13.0,15.0,36.0,42.0,34.0,7.0,27.0,nan,3.0,36.0,51.0,19.0,64.0,10.0,25.0,nan,nan,nan,nan,23.0,44.0,0.0,nan,25.0,29.0,60.0,nan
FA_Mag,nan,26.99098527237724,44.99472621071867,182.98625406017902,44.9970714518266,51.0282013045951,nan,nan,53.97355789750689,50.001110049679625,239.99238844255743,217.99179168904277,387.83201312927304,37.9977576357156,34.97112291162874,68.9913493240928,nan,25.996229809938733,13.017461995498556,61.98629300402125,75.98966418249374,158.80328833652797,36.99742309682224,2259.9406881532695,nan,nan,nan,nan,14.173395965280058,43.99300984124766,45.001555585496156,nan,164.82547907319105,77.00597966516203,39.97019399856946,nan
Wet_Tim,110.0,114.0,117.0,111.0,31.0,67.0,40.0,48.0,115.0,93.0,76.0,51.0,74.0,96.0,33.0,145.0,2.0,126.0,72.0,94.0,81.0,132.0,73.0,72.0,nan,nan,nan,128.0,87.0,127.0,18.0,147.0,126.0,85.0,126.0,nan
FA_Dur,nan,2.0,3.0,3.0,3.0,6.0,nan,nan,8.0,3.0,3.0,4.0,5.0,5.0,5.0,10.0,nan,5.0,3.0,6.0,5.0,7.0,2.0,6.0,nan,nan,nan,nan,4.0,7.0,5.0,nan,6.0,3.0,4.0,nan
Wet_BFL_Mag_10,83.0,58.0,54.0,108.4,58.0,322.0,108.0,102.9,91.60000000000001,292.4,90.8,125.2,102.0,163.0,147.0,310.4,39.0,26.900000000000002,171.8,100.0,241.5,103.2,274.0,314.4,nan,nan,nan,50.2,66.5,89.0,30.0,105.2,134.4,212.00000000000006,65.0,nan
Wet_BFL_Mag_50,297.0,118.0,317.0,382.0,108.0,465.0,162.0,353.0,298.5,630.0,320.5,314.0,312.0,352.5,455.0,490.5,73.5,59.0,675.0,499.0,620.0,288.0,546.0,925.0,nan,nan,nan,191.0,170.0,468.0,66.0,386.0,300.0,705.5,236.0,nan
Wet_BFL_Dur,118.0,111.0,103.0,123.0,199.0,165.0,171.0,190.0,100.0,135.0,40.0,203.0,170.0,136.0,209.0,102.0,216.0,130.0,173.0,139.0,156.0,83.0,135.0,185.0,nan,nan,nan,97.0,146.0,65.0,191.0,92.0,90.0,148.0,111.0,nan
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,nan,nan,nan,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,10707.199999999997,nan
Peak_Dur_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,nan,nan,nan,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,nan
Peak_Dur_10,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,nan,nan,nan,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,nan
Peak_Dur_20,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_20,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,nan,nan,nan,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,nan
Peak_Dur_50,nan,nan,1.0,5.0,nan,6.0,nan,17.0,nan,25.0,5.0,1.0,nan,1.0,1.0,11.0,nan,nan,5.0,nan,12.0,nan,31.0,43.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,5.0,nan,nan
Peak_Fre_50,nan,nan,1.0,2.0,nan,3.0,nan,3.0,nan,6.0,3.0,1.0,nan,1.0,1.0,3.0,nan,nan,3.0,nan,2.0,nan,5.0,8.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,3.0,nan,nan
Peak_50,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,nan,nan,nan,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,nan
Dur_2,nan,nan,2.0,6.0,nan,8.0,nan,18.0,nan,36.0,6.0,1.0,nan,10.0,2.0,20.0,nan,nan,9.0,3.0,12.0,nan,37.0,48.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,7.0,nan,nan
Fre_2,nan,nan,1.0,3.0,nan,2.0,nan,3.0,nan,6.0,2.0,1.0,nan,2.0,2.0,2.0,nan,nan,4.0,3.0,2.0,nan,5.0,9.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,4.0,nan,nan
High_2,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,nan,nan,nan,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,nan
Dur_5,nan,nan,18.0,17.0,1.0,21.0,1.0,37.0,nan,78.0,10.0,2.0,nan,21.0,19.0,31.0,nan,nan,43.0,24.0,38.0,nan,57.0,93.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,36.0,nan,nan
Fre_5,nan,nan,6.0,5.0,1.0,5.0,1.0,7.0,nan,3.0,4.0,1.0,nan,3.0,6.0,3.0,nan,nan,10.0,3.0,5.0,nan,8.0,12.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,10.0,nan,nan
High_5,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,nan,nan,nan,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,nan
Dur_10,4.0,nan,40.0,40.0,1.0,45.0,11.0,76.0,2.0,94.0,21.0,23.0,nan,51.0,52.0,51.0,nan,nan,98.0,58.0,70.0,3.0,82.0,167.0,nan,nan,nan,nan,nan,22.0,1.0,8.0,nan,87.0,nan,nan
Fre_10,2.0,nan,4.0,4.0,1.0,7.0,4.0,7.0,1.0,4.0,5.0,6.0,nan,4.0,10.0,5.0,nan,nan,5.0,8.0,7.0,2.0,8.0,9.0,nan,nan,nan,nan,nan,4.0,1.0,3.0,nan,7.0,nan,nan
High_10,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,nan,nan,nan,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,nan
Dur_20,38.0,nan,78.0,82.0,24.0,137.0,55.0,123.0,27.0,138.0,103.0,80.0,55.0,84.0,121.0,84.0,2.0,nan,131.0,96.0,163.0,22.0,147.0,208.0,nan,nan,nan,2.0,nan,52.0,3.0,49.0,15.0,131.0,3.0,nan
Fre_20,7.0,nan,5.0,7.0,4.0,8.0,6.0,6.0,4.0,4.0,13.0,8.0,9.0,8.0,6.0,5.0,2.0,nan,5.0,4.0,4.0,5.0,10.0,7.0,nan,nan,nan,2.0,nan,3.0,3.0,8.0,6.0,6.0,2.0,nan
High_20,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,nan,nan,nan,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,nan
