Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,12.46219178082192,15.344657534246574,25.21232876712329,19.493715846994537,35.70191780821918,10.92876712328767,23.894520547945206,10.454371584699453,25.356438356164386,22.819999999999997,41.450958904109584,31.42677595628415,19.661369863013697,28.236986301369864,22.1786301369863,17.16857923497268,6.154246575342467,28.72301369863014,15.906575342465752,25.080601092896174,12.216712328767125,30.170136986301372
Std,14.25628611617464,18.577918995349982,27.152848662106422,20.797346112380882,49.957278972632295,11.47271306428246,44.67977781187,8.864509578627295,36.883402265208105,31.22714590057648,51.804207058341476,35.24783827017334,25.88187525309219,34.709298848205776,33.22694043583031,20.197974297958435,6.094764408857374,34.83005813692722,22.905424626337243,31.494971073448784,13.189500603795402,30.321541892208593
CV,1.1439629855571356,1.2107092617666662,1.076967102599168,1.066874385346462,1.3992883867188584,1.0497719399506389,1.8698754688221693,0.8479237137123566,1.4545971223218503,1.3684113015151833,1.2497710168341953,1.1215862014991431,1.3163820951143541,1.2292139988934272,1.4981511585974483,1.1764499567218019,0.990334776847679,1.2126185121928323,1.4399972422213774,1.2557502492382215,1.0796276648618155,1.0050183698528106
SP_Tim,250.0,249.0,234.0,258.0,232.0,221.0,239.0,252.0,229.0,242.0,256.0,247.0,233.0,243.0,252.0,231.0,246.0,253.0,237.0,238.0,216.0,242.0
SP_Mag,55.0,53.0,154.0,87.0,130.0,48.0,232.0,29.0,175.0,142.0,164.0,161.0,145.0,141.0,178.0,105.0,35.0,131.0,112.0,109.0,81.0,126.0
SP_Dur,66.0,82.0,82.0,68.0,74.0,90.0,79.0,90.0,87.0,79.0,65.0,77.0,75.0,78.0,60.0,71.0,68.0,57.0,73.0,82.0,89.0,93.0
SP_ROC,0.07950157950157954,0.05555555555555555,0.05131578947368421,0.07059800664451826,0.06896551724137931,0.05444444444444446,0.05718954248366013,0.06002400960384156,0.05555555555555555,0.044610281923714745,0.05714285714285714,0.0625,0.045454545454545456,0.06027596223674655,0.058823529411764705,0.061553030303030304,0.05357142857142854,0.05718954248366013,0.05376344086021505,0.05486978774650004,0.03999999999999999,0.05357142857142857
DS_Tim,316.0,331.0,316.0,326.0,306.0,311.0,318.0,342.0,316.0,321.0,321.0,324.0,308.0,321.0,312.0,302.0,314.0,310.0,310.0,320.0,305.0,335.0
DS_Mag_90,4.5,26.0,6.960000000000003,5.0,8.57,12.0,6.5,11.0,5.4,27.0,11.0,15.0,16.30000000000001,11.0,10.0,6.55,12.0,8.550000000000008,18.0,6.0,22.0,24.0
DS_Mag_50,3.9,13.0,5.5,4.1,5.5,6.1,4.6,6.3,4.2,6.3,8.3,8.6,9.6,6.15,7.5,4.3,5.3,4.8,7.15,4.9,6.2,11.0
DS_Dur_WS,203.0,205.0,193.0,98.0,204.0,255.0,170.0,181.0,142.0,203.0,178.0,211.0,208.0,232.0,201.0,226.0,187.0,234.0,236.0,164.0,182.0,152.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,48.0,nan,11.0,39.0,nan,nan,50.0,nan,39.0,nan,39.0,nan,nan,42.0,nan,65.0,nan,60.0,59.0,18.0,74.0,9.0
FA_Mag,10.88835987337502,nan,49.954424805294295,23.78551155994412,nan,nan,13.959505321741526,nan,15.97518936840948,nan,29.82212438347061,nan,nan,25.88313864738718,nan,16.996680505348387,nan,14.997157211772773,14.96989767502851,15.90607103520942,10.935780821074701,19.948572205262977
Wet_Tim,157.0,153.0,170.0,143.0,58.0,144.0,200.0,122.0,157.0,92.0,158.0,133.0,169.0,150.0,187.0,147.0,162.0,135.0,178.0,180.0,118.0,121.0
FA_Dur,4.0,nan,6.0,2.0,nan,nan,2.0,nan,3.0,nan,2.0,nan,nan,7.0,nan,2.0,nan,8.0,4.0,2.0,2.0,2.0
