Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
FA_Mag,nan,24.97257766822643,45.987209908075144,16.997412665503838,26.98847101915041,nan,nan,nan,nan,nan,19.94587125659925
FA_Tim,nan,24.0,67.0,64.0,42.0,nan,nan,nan,nan,nan,62.0
FA_Dur,nan,5.0,3.0,2.0,4.0,nan,nan,nan,nan,nan,2.0
Wet_BFL_Mag_10,17.0,64.9,47.0,52.0,56.0,27.0,51.0,87.19999999999999,13.5,30.0,0.4400000000000002
Wet_BFL_Mag_50,83.0,293.5,129.0,204.5,124.0,125.0,126.0,447.0,92.0,111.0,39.0
Wet_Tim,9.0,164.0,150.0,160.0,160.0,51.0,171.0,179.0,121.0,148.0,163.0
Wet_BFL_Dur,232.0,80.0,111.0,74.0,93.0,195.0,79.0,85.0,106.0,101.0,88.0
Peak_2,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0
Peak_5,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0
Peak_10,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0
Peak_Dur_2,5.0,49.0,nan,1.0,nan,9.0,8.0,39.0,nan,nan,nan
Peak_Dur_5,2.0,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan
Peak_Dur_10,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_2,2.0,4.0,nan,1.0,nan,3.0,2.0,3.0,nan,nan,nan
Peak_Fre_5,1.0,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
SP_Mag,400.0,1030.0,364.0,514.0,511.0,505.0,580.0,645.0,210.0,188.0,55.0
SP_Tim,241.0,244.0,261.0,234.0,253.0,246.0,250.0,264.0,227.0,249.0,251.0
SP_Dur,61.0,91.0,60.0,78.0,56.0,77.0,62.0,71.0,66.0,47.0,75.0
SP_ROC,0.07275132275132275,0.06695685571629753,0.07168550873586844,0.08074534161490683,0.07142857142857142,0.0693664795509222,0.07692307692307693,0.08792270531400967,0.0819672131147541,0.09023066485753053,0.1833333333333333
DS_Mag_50,10.5,21.0,8.1,14.0,4.15,9.45,18.0,9.3,3.9,1.2,0.7
DS_Mag_90,73.0,49.0,44.0,42.70000000000002,8.36,45.70000000000002,58.60000000000002,17.0,20.0,3.360000000000002,1.3000000000000003
DS_Tim,302.0,335.0,321.0,312.0,309.0,323.0,312.0,335.0,293.0,296.0,326.0
DS_Dur_WS,228.0,181.0,205.0,214.0,108.0,214.0,233.0,152.0,221.0,233.0,203.0
