metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,10744424
DS_Tim,1,likely_unaltered,none_found,TRUE,10744424
DS_Mag_50,1,likely_unaltered,none_found,FALSE,10744424
DS_Mag_90,1,likely_unaltered,none_found,TRUE,10744424
FA_Mag,1,likely_unaltered,none_found,FALSE,10744424
FA_Tim,1,likely_unaltered,none_found,FALSE,10744424
SP_Dur,1,likely_unaltered,none_found,TRUE,10744424
SP_Mag,1,likely_unaltered,none_found,FALSE,10744424
SP_Tim,1,likely_unaltered,none_found,TRUE,10744424
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,10744424
Wet_BFL_Mag_10,-1,likely_altered,high,FALSE,10744424
Wet_BFL_Mag_50,0,indeterminate,unknown,TRUE,10744424
Wet_Tim,1,likely_unaltered,none_found,FALSE,10744424
Peak_10,1,likely_unaltered,none_found,TRUE,10744424
Peak_2,1,likely_unaltered,none_found,FALSE,10744424
Peak_5,1,likely_unaltered,none_found,TRUE,10744424
