metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,17612503
DS_Tim,1,likely_unaltered,none_found,TRUE,17612503
DS_Mag_50,1,likely_unaltered,none_found,FALSE,17612503
DS_Mag_90,1,likely_unaltered,none_found,FALSE,17612503
FA_Dur,NA,not_enough_data,undeterminable,NA,17612503
FA_Mag,NA,not_enough_data,undeterminable,NA,17612503
FA_Tim,NA,not_enough_data,undeterminable,NA,17612503
SP_ROC,1,likely_unaltered,none_found,FALSE,17612503
SP_Dur,1,likely_unaltered,none_found,FALSE,17612503
SP_Mag,1,likely_unaltered,none_found,TRUE,17612503
SP_Tim,-1,likely_altered,late,FALSE,17612503
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,17612503
Wet_BFL_Mag_10,-1,likely_altered,high,FALSE,17612503
Wet_BFL_Mag_50,-1,likely_altered,high,FALSE,17612503
Wet_Tim,1,likely_unaltered,none_found,TRUE,17612503
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,17612503
Peak_Dur_2,-1,likely_altered,high,FALSE,17612503
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17612503
Peak_10,-1,likely_altered,high,FALSE,17612503
Peak_2,1,likely_unaltered,none_found,TRUE,17612503
Peak_5,1,likely_unaltered,none_found,FALSE,17612503
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,17612503
Peak_Fre_2,1,likely_unaltered,none_found,FALSE,17612503
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17612503
