Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,nan,nan,17.01325426069133,8.197624391438291,12.001105319733268,nan,13.985138565134148,18.00420294270794,14.986283917924718,18.99790671402139,15.085166890615692,nan,4.995857902709018,13.998459685939077,11.989314917648288,nan,9.698598430136105,58.99861392795369,nan,nan,9.277459127451097,nan
FA_Tim,nan,nan,1.0,11.0,35.0,nan,43.0,9.0,6.0,51.0,9.0,nan,35.0,50.0,18.0,nan,6.0,24.0,nan,nan,20.0,nan
FA_Dur,nan,nan,2.0,2.0,3.0,nan,8.0,7.0,9.0,9.0,2.0,nan,3.0,2.0,2.0,nan,2.0,6.0,nan,nan,6.0,nan
Wet_BFL_Mag_10,8.2,7.15,11.0,13.0,14.9,19.400000000000002,9.15,13.100000000000001,30.0,35.5,7.87,3.1,15.100000000000001,7.07,18.0,7.0,27.0,27.0,31.0,10.0,16.2,8.02
Wet_BFL_Mag_50,17.0,28.0,33.0,60.0,71.0,31.0,16.0,60.5,59.0,53.0,11.0,4.2,36.5,28.0,30.0,16.0,60.0,116.0,44.0,16.0,53.0,14.0
Wet_Tim,31.0,32.0,96.0,66.0,76.0,30.0,61.0,73.0,32.0,114.0,17.0,37.0,69.0,94.0,76.0,54.0,35.0,73.0,26.0,7.0,103.0,80.0
Wet_BFL_Dur,194.0,226.0,75.0,124.0,80.0,215.0,176.0,112.0,152.0,96.0,218.0,220.0,142.0,128.0,149.0,125.0,162.0,141.0,179.0,200.0,63.0,88.0
Peak_2,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5,478.5
Peak_5,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001,643.4000000000001
Peak_10,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002,821.5000000000002
Peak_Dur_2,nan,nan,nan,2.0,1.0,1.0,nan,1.0,3.0,nan,nan,nan,1.0,nan,1.0,nan,3.0,4.0,1.0,nan,1.0,nan
Peak_Dur_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,1.0,nan,1.0,nan
Peak_Dur_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan
Peak_Fre_2,nan,nan,nan,1.0,1.0,1.0,nan,1.0,2.0,nan,nan,nan,1.0,nan,1.0,nan,2.0,3.0,1.0,nan,1.0,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,1.0,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan
SP_Mag,14.0,31.0,82.0,89.0,130.0,33.0,14.0,76.0,567.0,77.0,6.6,2.4,60.0,38.0,30.0,84.0,504.0,209.0,45.0,19.0,183.0,60.0
SP_Tim,225.0,258.0,171.0,190.0,156.0,245.0,237.0,185.0,184.0,210.0,235.0,257.0,211.0,222.0,225.0,179.0,197.0,214.0,205.0,207.0,166.0,168.0
SP_Dur,37.0,22.0,76.0,50.0,91.0,17.0,71.0,48.0,82.0,90.0,101.0,43.0,51.0,75.0,74.0,114.0,63.0,74.0,77.0,84.0,60.0,133.0
SP_ROC,0.04918032786885243,0.05555555555555555,0.059714795008912656,0.041666666666666664,0.041666666666666664,0.05718954248366013,0.03571428571428559,0.039230769230769236,0.03948051948051948,0.04571577847439909,0.039230769230769263,0.06250000000000006,0.05,0.03278688524590152,0.05291153415453527,0.04189515244571172,0.04,0.03625410733844468,0.047619047619047616,0.025978407557354893,0.045454545454545456,0.040816326530612276
DS_Mag_50,1.6,6.85,4.4,5.5,4.4,5.5,6.0,6.4,10.0,6.1,3.1,2.1,4.3,4.1,5.0,2.5,13.0,11.0,6.8,4.75,7.05,6.5
DS_Mag_90,3.0,11.0,7.76,15.0,10.0,9.759999999999996,13.0,14.0,15.0,8.559999999999999,4.14,3.4,7.2,9.259999999999996,5.7,6.949999999999998,27.200000000000017,18.0,9.4,12.0,15.099999999999994,7.200000000000001
DS_Tim,262.0,280.0,247.0,240.0,247.0,262.0,308.0,233.0,266.0,300.0,336.0,300.0,262.0,297.0,299.0,293.0,260.0,288.0,282.0,291.0,226.0,301.0
DS_Dur_WS,136.0,182.0,185.0,202.0,149.0,165.0,131.0,165.0,214.0,83.0,67.0,135.0,198.0,145.0,121.0,108.0,179.0,104.0,91.0,178.0,220.0,145.0
