Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,242.99224551763675,133.99792408331118,155.98945531271107,487.99455043434705,nan,1329.905303108982,132.99626086063154,143.00025692002097,2029.8246991434632,218.991388272366,76.29799779992285,254.99305823556637,551.9530116211192
FA_Tim,nan,38.0,38.0,18.0,33.0,nan,18.0,3.0,13.0,23.0,4.0,23.0,50.0,22.0
FA_Dur,nan,9.0,3.0,4.0,7.0,nan,5.0,4.0,7.0,3.0,4.0,3.0,2.0,4.0
Wet_BFL_Mag_10,289.8,191.1,137.0,119.5,128.6,101.0,85.19000000000001,46.61000000000001,202.60000000000002,131.2,201.20000000000002,89.81,146.8,141.8
Wet_BFL_Mag_50,612.0,667.0,513.0,287.5,804.0,241.0,248.5,283.0,443.5,335.0,641.0,186.0,493.5,387.0
Wet_Tim,39.0,66.0,57.0,58.0,52.0,29.0,46.0,71.0,69.0,29.0,102.0,45.0,124.0,44.0
Wet_BFL_Dur,127.0,148.0,151.0,206.0,187.0,179.0,138.0,150.0,182.0,217.0,97.0,148.0,60.0,89.0
Peak_2,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0
Peak_5,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0
Peak_10,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004
Peak_Dur_2,3.0,4.0,2.0,nan,5.0,nan,nan,nan,nan,1.0,3.0,1.0,nan,nan
Peak_Dur_5,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,3.0,3.0,2.0,nan,4.0,nan,nan,nan,nan,1.0,2.0,1.0,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
SP_Mag,670.0,3770.0,789.0,3200.0,700.0,268.0,168.0,1190.0,986.0,344.0,1330.0,1070.0,1580.0,3710.0
SP_Tim,166.0,214.0,208.0,264.0,239.0,208.0,184.0,221.0,251.0,246.0,199.0,193.0,184.0,133.0
SP_Dur,58.0,35.0,30.0,50.0,43.0,56.0,37.0,47.0,37.0,44.0,39.0,103.0,32.0,116.0
SP_ROC,0.041237113402061855,0.05551277114619432,0.044001086237037274,0.04666666666666667,0.03549060542797486,0.03610595074009711,0.032289255366565496,0.044645611370808885,0.04907154139538468,0.04670912951167734,0.060109289617486336,0.04600811907983769,0.08603855721393035,0.044247787610619475
DS_Mag_50,11.0,12.7,16.5,17.7,7.89,13.3,12.100000000000001,12.7,15.0,23.3,14.7,12.25,16.049999999999997,8.39
DS_Mag_90,51.30000000000001,51.57000000000004,45.45,102.10000000000004,20.779999999999998,45.07000000000001,47.55,44.58000000000001,40.64000000000001,88.77000000000001,60.84000000000002,25.980000000000008,76.77000000000001,69.3
DS_Tim,224.0,249.0,238.0,314.0,282.0,264.0,221.0,268.0,288.0,290.0,238.0,296.0,216.0,249.0
DS_Dur_WS,208.0,174.0,186.0,104.0,113.0,148.0,216.0,167.0,107.0,178.0,173.0,194.0,194.0,161.0
