Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,377.984923211154,227.9966390490893,320.994492008638,1089.9453718243021,463.9885431830892,99.97195398457201,132.99993943152728,84.01119970142356,234.99423645588416,nan,nan,1559.9570425638635,87.00016703494856,nan,101.99736687057108,299.9984208855134,168.00100563003903,nan,286.9995847248498,97.989923410345,nan,107.00167625521962,nan,361.95421374881084,275.9996903280162,204.99877876997428,nan,114.03912177087258,254.0018500033101,1959.9815453765757,nan,nan,1519.9935329956588,151.00001256729993,nan,nan,415.003096366907,106.9961552372219,297.9486608189545,1009.9894906974064,nan,nan,nan,441.9984448000289,303.99815155643336,101.99678137524818,190.9981971335979,nan,nan,213.00070116175613,nan,239.99839361138237,883.9315651726013,nan,3319.842924140916,154.98575253320035,180.0015927157253,nan,200.99887700772263,172.99181262940857,229.98868084073845,626.9918562085829
FA_Tim,9.0,18.0,9.0,25.0,10.0,19.0,9.0,7.0,10.0,nan,nan,40.0,15.0,nan,2.0,11.0,8.0,nan,0.0,11.0,nan,28.0,nan,45.0,0.0,50.0,nan,14.0,6.0,29.0,nan,nan,22.0,0.0,nan,nan,23.0,30.0,25.0,31.0,nan,nan,nan,24.0,1.0,7.0,27.0,nan,nan,40.0,nan,19.0,34.0,nan,18.0,4.0,14.0,nan,5.0,15.0,50.0,23.0
FA_Dur,2.0,4.0,10.0,5.0,3.0,6.0,3.0,10.0,5.0,nan,nan,3.0,4.0,nan,1.0,3.0,3.0,nan,4.0,4.0,nan,5.0,nan,2.0,4.0,10.0,nan,5.0,2.0,2.0,nan,nan,4.0,5.0,nan,nan,6.0,4.0,5.0,6.0,nan,nan,nan,3.0,6.0,4.0,10.0,nan,nan,6.0,nan,4.0,3.0,nan,4.0,7.0,4.0,nan,3.0,7.0,2.0,2.0
Wet_BFL_Mag_10,703.0,488.7,687.2,408.4,428.0,457.0,547.2,348.2,356.1,282.0,338.0,284.0,733.6,406.8,243.0,790.7,312.9,688.4,629.6,237.8,808.0,631.0,325.6,178.0,512.4,294.0,572.0,248.29999999999998,895.0,807.0,528.8,190.60000000000002,343.20000000000005,nan,188.4,415.0,222.0,239.0,143.1,834.6999999999999,261.6,465.4,602.3000000000001,404.1,539.2,512.6,284.5,63.6,532.6,748.0,402.6,369.6,843.5,361.0,429.1,330.0,601.8000000000001,419.4,293.0,458.4,197.00000000000003,328.1
Wet_BFL_Mag_50,1690.0,935.0,3020.0,1070.0,1950.0,1385.0,1110.0,1280.0,1020.0,1055.0,1110.0,1430.0,1490.0,1310.0,1185.0,1455.0,992.0,1840.0,1640.0,1280.0,2920.0,1860.0,1040.0,389.0,1355.0,1020.0,1360.0,733.5,2710.0,2100.0,1570.0,722.0,1085.0,nan,384.0,1800.0,964.0,753.0,414.0,1875.0,534.0,1340.0,1605.0,1345.0,1430.0,1690.0,688.5,293.0,1500.0,1790.0,1430.0,907.0,2670.0,1280.0,1175.0,1020.0,1270.0,1480.0,1070.0,734.0,675.0,713.0
Wet_Tim,39.0,40.0,41.0,62.0,37.0,78.0,95.0,38.0,46.0,2.0,12.0,51.0,80.0,32.0,55.0,36.0,66.0,31.0,36.0,29.0,17.0,60.0,10.0,138.0,29.0,93.0,15.0,53.0,38.0,43.0,27.0,6.0,52.0,46.0,47.0,29.0,89.0,95.0,44.0,60.0,56.0,33.0,56.0,44.0,40.0,33.0,44.0,16.0,40.0,68.0,55.0,58.0,52.0,34.0,38.0,70.0,71.0,19.0,85.0,44.0,117.0,41.0
Wet_BFL_Dur,153.0,174.0,107.0,173.0,151.0,106.0,147.0,188.0,168.0,220.0,156.0,154.0,117.0,195.0,126.0,174.0,138.0,173.0,163.0,157.0,169.0,151.0,187.0,104.0,202.0,130.0,211.0,188.0,161.0,181.0,227.0,177.0,170.0,nan,203.0,156.0,157.0,139.0,160.0,188.0,197.0,195.0,182.0,164.0,204.0,187.0,216.0,257.0,163.0,147.0,153.0,207.0,150.0,173.0,172.0,151.0,180.0,184.0,101.0,149.0,109.0,152.0
Peak_2,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0
Peak_5,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0,19040.0
Peak_10,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996,28679.999999999996
