Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974
FA_Mag,165.95630067769778,26.040805107163152,nan,16.99511074300342,14.00597461414712,15.991276639411797,22.001198167709163,66.22124376005097,29.00551515102802,nan
FA_Tim,40.0,38.0,nan,2.0,11.0,15.0,22.0,43.0,11.0,nan
FA_Dur,3.0,2.0,nan,1.0,3.0,3.0,5.0,9.0,4.0,nan
Wet_BFL_Mag_10,28.0,41.0,24.0,14.700000000000001,33.0,41.5,27.700000000000003,22.6,51.2,nan
Wet_BFL_Mag_50,78.5,86.0,87.0,67.5,153.0,141.5,102.5,68.0,151.0,nan
Wet_Tim,52.0,81.0,39.0,54.0,58.0,66.0,30.0,53.0,61.0,nan
Wet_BFL_Dur,154.0,116.0,164.0,118.0,132.0,96.0,150.0,147.0,125.0,nan
Peak_2,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,nan
Peak_5,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,nan
Peak_10,3073.9999999999995,3073.9999999999995,3073.9999999999995,3073.9999999999995,3073.9999999999995,3073.9999999999995,3073.9999999999995,3073.9999999999995,3073.9999999999995,nan
Peak_Dur_2,4.0,2.0,nan,nan,2.0,3.0,1.0,nan,nan,nan
Peak_Dur_5,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,1.0,nan,nan,1.0,2.0,1.0,nan,nan,nan
Peak_Fre_5,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,292.0,174.0,380.0,339.0,73.0,168.0,1620.0,104.0,230.0,nan
SP_Tim,206.0,197.0,203.0,172.0,190.0,162.0,180.0,200.0,186.0,nan
SP_Dur,15.0,48.0,52.0,46.0,8.0,47.0,51.0,55.0,43.0,nan
SP_ROC,0.07238372093023256,0.05718954248366013,0.05584415584415584,0.061553030303030304,0.05555555555555555,0.05263157894736842,0.07692307692307693,0.05714285714285714,0.041666666666666664,nan
DS_Mag_50,8.1,3.7,6.6,4.6,5.2,4.5,5.8,8.6,nan,nan
DS_Mag_90,22.0,8.8,14.599999999999994,13.0,21.700000000000017,13.400000000000006,18.30000000000001,43.80000000000001,nan,nan
DS_Tim,221.0,245.0,255.0,218.0,198.0,209.0,231.0,255.0,229.0,nan
DS_Dur_WS,226.0,160.0,165.0,206.0,234.0,187.0,188.0,172.0,nan,nan
