Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
FA_Mag,nan,41.99978304589574,nan,51.998554737206405,24.999318390759456,14.995876518580861,83.00018693052178,149.98939369256757,22.003088699860264,nan,nan,23.962740008588984,nan,nan,268.9802159061788,94.99935420830775,14.994868349675244,28.001239906798137,36.9993365293835,41.99914536191307
FA_Tim,nan,1.0,nan,17.0,6.0,9.0,25.0,8.0,40.0,nan,nan,10.0,nan,nan,40.0,44.0,3.0,1.0,11.0,15.0
FA_Dur,nan,7.0,nan,5.0,2.0,6.0,8.0,5.0,5.0,nan,nan,3.0,nan,nan,3.0,3.0,8.0,2.0,3.0,3.0
Wet_BFL_Mag_10,96.1,104.4,52.7,83.0,47.0,92.2,77.0,62.5,44.6,48.400000000000006,37.7,29.0,37.0,55.8,147.60000000000002,71.2,37.0,51.5,65.6,122.0
Wet_BFL_Mag_50,268.5,308.0,140.0,209.5,92.0,415.5,147.0,459.0,185.0,131.0,136.0,137.0,94.0,131.0,586.0,190.0,219.0,171.5,435.0,281.5
Wet_Tim,21.0,37.0,58.0,38.0,34.0,44.0,96.0,37.0,78.0,110.0,39.0,48.0,4.0,30.0,52.0,80.0,39.0,55.0,52.0,66.0
Wet_BFL_Dur,142.0,137.0,178.0,152.0,177.0,104.0,138.0,150.0,107.0,133.0,188.0,130.0,188.0,139.0,49.0,117.0,163.0,116.0,103.0,96.0
Peak_2,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0
Peak_5,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003
Peak_10,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0
Peak_Dur_2,2.0,1.0,nan,2.0,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,1.0,4.0,2.0,nan,nan,1.0,2.0
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,1.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_2,2.0,1.0,nan,1.0,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,1.0,nan,nan,1.0,2.0
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
SP_Mag,780.0,705.0,270.0,1730.0,486.0,2840.0,1170.0,2580.0,358.0,454.0,364.0,342.0,1480.0,229.0,2300.0,368.0,558.0,658.0,674.0,361.0
SP_Tim,163.0,174.0,236.0,190.0,211.0,148.0,234.0,187.0,185.0,243.0,227.0,178.0,192.0,169.0,101.0,197.0,202.0,171.0,155.0,162.0
SP_Dur,97.0,29.0,44.0,35.0,53.0,32.0,36.0,31.0,35.0,19.0,38.0,52.0,55.0,63.0,120.0,37.0,39.0,47.0,116.0,42.0
SP_ROC,0.058823529411764705,0.08490566037735849,0.05887445887445887,0.06323676323676324,0.05263157894736842,0.08247422680412371,0.058823529411764705,0.07194616977225674,0.05555555555555555,0.06904761904761905,0.06061224489795918,0.05941176470588235,0.05660377358490566,0.06,0.08054054054054055,0.05,0.0695048309178744,0.054299754299754296,0.06428571428571428,0.052708333333333336
DS_Mag_50,4.9,7.4,9.7,7.9,5.1,14.0,14.0,7.3,4.3,4.3,5.7,4.35,8.3,4.449999999999999,7.1,2.9,8.649999999999999,7.25,6.1,7.0
DS_Mag_90,13.0,43.0,18.700000000000003,27.0,13.0,47.0,73.39999999999998,27.5,21.5,17.0,17.0,17.0,22.200000000000017,20.0,42.599999999999994,15.0,28.0,25.299999999999983,13.0,20.30000000000001
DS_Tim,260.0,203.0,280.0,225.0,264.0,180.0,270.0,218.0,220.0,262.0,265.0,230.0,247.0,232.0,221.0,234.0,241.0,218.0,271.0,204.0
DS_Dur_WS,143.0,221.0,124.0,175.0,146.0,282.0,133.0,226.0,256.0,143.0,149.0,140.0,149.0,186.0,225.0,171.0,180.0,200.0,161.0,228.0
