Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
FA_Mag,nan,nan,nan,783.965447628318,11.998996924333948,nan,129.97401326418773,663.9966389564621,nan,9.389771669445027,1.5826390866129016,nan,nan,36.99439772722404,113.99721728250894,nan,nan,14.92030097840978,9.997598841190372,32.99085941356561,208.98372357481796,26.989232660080756,32.00914782615857,nan,12.94545201081673,59.005647203511366,6.697544649172327,3.388103333506714,11.038160316507843,88.95675860417853
FA_Tim,nan,nan,nan,44.0,6.0,nan,29.0,8.0,nan,69.0,5.0,nan,nan,10.0,32.0,nan,nan,2.0,12.0,14.0,35.0,43.0,11.0,nan,26.0,9.0,41.0,0.0,50.0,22.0
FA_Dur,nan,nan,nan,4.0,8.0,nan,7.0,5.0,nan,3.0,4.0,nan,nan,8.0,2.0,nan,nan,1.0,4.0,4.0,3.0,6.0,6.0,nan,9.0,2.0,5.0,5.0,2.0,3.0
Wet_BFL_Mag_10,31.500000000000007,64.0,40.0,81.80000000000001,25.6,45.0,19.700000000000003,160.2,4.4,69.0,34.6,26.6,15.0,44.5,42.0,42.60000000000001,19.0,22.8,91.6,123.0,37.0,21.0,54.400000000000006,148.6,124.70000000000005,8.51,4.2,109.00000000000001,30.8,63.6
Wet_BFL_Mag_50,235.5,337.0,160.0,285.0,66.0,565.0,74.0,632.0,204.0,278.5,172.0,108.0,90.0,59.0,125.0,170.0,215.0,135.0,633.0,414.0,209.0,73.0,388.0,380.0,398.0,16.0,6.3,371.0,112.0,247.0
Wet_Tim,21.0,46.0,56.0,95.0,34.0,59.0,97.0,72.0,83.0,109.0,48.0,51.0,6.0,30.0,70.0,38.0,39.0,56.0,65.0,67.0,49.0,60.0,61.0,31.0,116.0,36.0,82.0,68.0,93.0,76.0
Wet_BFL_Dur,142.0,127.0,157.0,95.0,177.0,89.0,138.0,115.0,59.0,76.0,123.0,109.0,193.0,86.0,131.0,159.0,169.0,115.0,89.0,91.0,131.0,139.0,113.0,153.0,60.0,162.0,144.0,123.0,89.0,69.0
Peak_2,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0
Peak_5,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001
Peak_10,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0,8911.0
Peak_Dur_2,1.0,nan,nan,2.0,nan,2.0,nan,1.0,1.0,1.0,nan,1.0,1.0,nan,3.0,1.0,1.0,nan,1.0,3.0,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan
Peak_Dur_5,1.0,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,nan,1.0,nan,2.0,nan,1.0,1.0,1.0,nan,1.0,1.0,nan,2.0,1.0,1.0,nan,1.0,3.0,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan
Peak_Fre_5,1.0,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
SP_Mag,477.0,1030.0,335.0,1710.0,521.0,4390.0,416.0,3350.0,5480.0,518.0,1080.0,1770.0,1800.0,1150.0,1490.0,170.0,530.0,956.0,1570.0,698.0,1850.0,152.0,395.0,4620.0,2320.0,279.0,9.5,648.0,796.0,4300.0
SP_Tim,163.0,173.0,213.0,190.0,211.0,148.0,235.0,187.0,142.0,185.0,171.0,160.0,199.0,116.0,201.0,197.0,208.0,171.0,154.0,158.0,180.0,199.0,174.0,184.0,176.0,198.0,226.0,191.0,182.0,145.0
SP_Dur,81.0,32.0,41.0,40.0,42.0,34.0,20.0,42.0,26.0,80.0,27.0,33.0,51.0,140.0,24.0,15.0,28.0,47.0,25.0,30.0,28.0,53.0,32.0,37.0,23.0,46.0,39.0,43.0,67.0,97.0
SP_ROC,0.06110074626865672,0.06837606837606838,0.06896551724137931,0.07091694183388367,0.058823529411764705,0.05568475452196382,0.10990338164251207,0.08620689655172414,0.09813084112149532,0.08695652173913043,0.08075761096909134,0.07326892109500804,0.05,0.06252713851498053,0.08791208791208792,0.050031269543464665,0.07634032634032634,0.05263157894736842,0.10778106092584776,0.06956521739130435,0.10431266846361187,0.058823529411764705,0.061381475667189954,0.06711711711711713,0.07435046987285793,0.06491228070175437,0.09999999999999998,0.06956521739130435,0.07692307692307693,0.06914893617021277
DS_Mag_50,1.6,4.2,4.2,4.2,1.3,4.5,8.1,3.9,3.0,0.8,1.6,1.8,4.550000000000001,1.0,2.7,1.3,3.4,3.0,5.4,3.0,2.05,1.5,2.2,6.4,5.5,1.1,0.26,3.3,3.2,4.6
DS_Mag_90,12.0,34.400000000000006,52.80000000000001,22.0,10.900000000000006,42.0,86.80000000000007,16.0,31.400000000000034,4.6,36.20000000000002,31.0,21.0,112.19999999999999,24.200000000000017,15.800000000000011,30.5,20.80000000000001,53.70000000000002,29.0,24.0,53.99999999999997,21.0,42.0,56.60000000000002,4.140000000000004,12.400000000000034,13.0,90.80000000000001,90.1
DS_Tim,244.0,205.0,254.0,230.0,253.0,182.0,255.0,229.0,168.0,265.0,198.0,193.0,250.0,256.0,225.0,212.0,236.0,218.0,179.0,188.0,208.0,252.0,206.0,221.0,199.0,244.0,265.0,234.0,249.0,242.0
DS_Dur_WS,168.0,217.0,207.0,170.0,172.0,281.0,183.0,220.0,307.0,149.0,219.0,179.0,146.0,180.0,179.0,193.0,186.0,213.0,254.0,227.0,218.0,175.0,191.0,261.0,203.0,204.0,169.0,225.0,193.0,200.0
