Year,1958,1959,1960,1961,1962,1963,1964,1965
FA_Mag,1109.9970747833534,133.00158460504224,nan,82.99372895274271,163.96644084031877,nan,404.97143408296023,nan
FA_Tim,9.0,40.0,nan,7.0,26.0,nan,10.0,nan
FA_Dur,4.0,7.0,nan,4.0,8.0,nan,3.0,nan
Wet_BFL_Mag_10,600.0,282.79999999999995,177.20000000000002,134.0,163.5,170.10000000000002,191.8,345.5
Wet_BFL_Mag_50,1050.0,547.5,556.0,610.0,430.0,614.0,437.0,758.5
Wet_Tim,73.0,83.0,110.0,38.0,49.0,4.0,19.0,51.0
Wet_BFL_Dur,161.0,168.0,139.0,223.0,206.0,232.0,235.0,192.0
Peak_2,5370.0,5370.0,5370.0,5370.0,5370.0,5370.0,5370.0,5370.0
Peak_5,6752.0,6752.0,6752.0,6752.0,6752.0,6752.0,6752.0,6752.0
Peak_10,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996
Peak_Dur_2,6.0,nan,1.0,nan,nan,2.0,nan,3.0
Peak_Dur_5,1.0,nan,nan,nan,nan,nan,nan,3.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_2,4.0,nan,1.0,nan,nan,2.0,nan,1.0
Peak_Fre_5,1.0,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0
SP_Mag,1950.0,554.0,1410.0,948.0,694.0,1890.0,926.0,876.0
SP_Tim,234.0,251.0,249.0,261.0,255.0,236.0,254.0,243.0
SP_Dur,82.0,54.0,67.0,44.0,85.0,71.0,69.0,45.0
SP_ROC,0.04967602591792657,0.05405405405405406,0.05517241379310345,0.05102258852258852,0.052814938684503904,0.049290411907234336,0.041237113402061855,0.0747003719520595
DS_Mag_50,81.0,43.0,38.0,44.0,38.0,61.0,33.0,47.0
DS_Mag_90,127.0,58.0,45.0,70.20000000000002,53.1,102.6,63.400000000000006,96.0
DS_Tim,316.0,305.0,316.0,305.0,340.0,307.0,323.0,288.0
DS_Dur_WS,133.0,171.0,88.0,110.0,30.0,78.0,94.0,129.0
