Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976
FA_Mag,223.9635250206394,84.00174784377887,143.97165001061657,52.95196280275325,nan,68.99642571787437,64.99830693627584,nan,nan,18.049882098434615,83.99504158833919,98.99564975747761,61.99416720848761,73.99659425796695,nan,nan,106.96966847410839,49.000251908156784,342.9992540057908,90.96473647236753,542.8814032413512,42.004570188483015,53.99809387207653,105.98795938638037,nan
FA_Tim,50.0,45.0,44.0,42.0,nan,4.0,45.0,nan,nan,7.0,56.0,13.0,11.0,28.0,nan,nan,50.0,14.0,16.0,36.0,42.0,21.0,8.0,52.0,nan
FA_Dur,2.0,3.0,7.0,5.0,nan,2.0,3.0,nan,nan,9.0,3.0,10.0,3.0,6.0,nan,nan,3.0,4.0,3.0,5.0,3.0,3.0,6.0,3.0,nan
Wet_BFL_Mag_10,629.4,124.0,202.4,117.4,340.0,189.4,243.0,207.60000000000002,78.7,33.3,225.4,159.5,68.0,286.0,127.9,125.5,139.0,507.0,182.60000000000002,153.2,107.6,303.20000000000005,173.8,362.6,nan
Wet_BFL_Mag_50,1360.0,311.5,614.0,304.0,594.0,404.0,1030.0,354.5,314.0,87.0,688.0,622.5,127.0,476.0,248.0,640.5,312.0,1165.0,400.0,293.0,342.0,525.0,495.0,540.0,nan
Wet_Tim,163.0,87.0,131.0,129.0,62.0,126.0,112.0,127.0,110.0,40.0,122.0,112.0,29.0,68.0,40.0,51.0,126.0,101.0,76.0,52.0,71.0,121.0,35.0,145.0,nan
Wet_BFL_Dur,80.0,174.0,103.0,124.0,181.0,122.0,152.0,100.0,118.0,194.0,133.0,150.0,213.0,183.0,180.0,216.0,111.0,146.0,163.0,203.0,184.0,125.0,207.0,102.0,nan
Peak_2,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,nan
Peak_5,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,4302.000000000011,nan
Peak_10,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,8560.000000000002,nan
Peak_Dur_2,19.0,nan,nan,nan,9.0,1.0,6.0,1.0,nan,nan,2.0,2.0,nan,4.0,nan,12.0,nan,36.0,1.0,nan,nan,2.0,nan,8.0,nan
Peak_Dur_5,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,nan,2.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,5.0,nan,nan,nan,3.0,1.0,3.0,1.0,nan,nan,1.0,1.0,nan,2.0,nan,4.0,nan,3.0,1.0,nan,nan,1.0,nan,3.0,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,2.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
SP_Mag,3080.0,825.0,1470.0,1240.0,2090.0,1460.0,1920.0,846.0,1130.0,514.0,1230.0,1250.0,1050.0,1820.0,1060.0,2610.0,518.0,3370.0,1240.0,1180.0,1040.0,2100.0,1920.0,3090.0,nan
SP_Tim,243.0,261.0,234.0,253.0,243.0,248.0,264.0,227.0,228.0,234.0,255.0,262.0,242.0,251.0,220.0,267.0,237.0,247.0,239.0,255.0,255.0,246.0,242.0,247.0,nan
SP_Dur,53.0,51.0,60.0,49.0,44.0,53.0,63.0,63.0,52.0,58.0,53.0,43.0,60.0,59.0,73.0,48.0,44.0,69.0,65.0,52.0,39.0,52.0,64.0,64.0,nan
SP_ROC,0.0965034965034965,0.07894736842105263,0.0688783570300158,0.06504494976203068,0.06758415147265076,0.06142960812772134,0.07793522267206478,0.07079707622694048,0.07699207071363577,0.09487179487179487,0.07878787878787878,0.057971014492753624,0.06559139784946236,0.08641975308641975,0.07272727272727272,0.07140773219078739,0.08393285371702638,0.07601438109912687,0.0681065872227739,0.07767722473604827,0.07692307692307693,0.06915471534115603,0.07264254385964913,0.07526881720430108,nan
DS_Mag_50,44.0,22.0,18.0,10.5,42.0,28.0,28.0,14.0,9.05,7.9,18.0,25.5,8.6,24.0,8.8,55.0,16.5,47.0,11.0,19.0,32.0,19.0,34.0,nan,nan
DS_Mag_90,143.80000000000007,67.99999999999994,103.0,24.0,106.19999999999999,76.80000000000001,72.0,27.0,18.5,38.5,27.0,44.10000000000001,92.9,60.5,17.0,102.0,142.0,86.5,23.700000000000003,56.0,200.80000000000007,42.0,223.2,nan,nan
DS_Tim,296.0,312.0,294.0,302.0,287.0,301.0,327.0,290.0,280.0,292.0,308.0,305.0,302.0,310.0,293.0,315.0,281.0,316.0,304.0,307.0,294.0,298.0,306.0,311.0,nan
DS_Dur_WS,157.0,185.0,201.0,126.0,205.0,177.0,166.0,186.0,126.0,196.0,170.0,90.0,132.0,96.0,124.0,177.0,186.0,126.0,114.0,130.0,193.0,103.0,205.0,nan,nan
