Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,3.0,1.0,nan,nan,nan,2.0,1.0,3.0,nan,nan,nan,1.0,1.0,nan,2.0,1.0,4.0,nan,5.0,1.0,nan,nan,nan,nan,1.0,nan,nan,3.0,1.0,2.0,nan,3.0,11.0,2.0,nan,3.0,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,4.0,nan,2.0,1.0,3.0,nan,nan
Peak_Fre_5,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,2.0,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
SP_Mag,1570.0,696.0,218.0,326.0,262.0,495.0,298.0,685.0,126.0,217.0,91.0,379.0,427.0,180.0,335.0,213.0,1080.0,138.0,880.0,245.0,190.0,171.0,378.0,300.0,707.0,108.0,99.0,528.0,551.0,452.0,227.0,752.0,876.0,1250.0,222.0,910.0,96.0,77.0,248.0,162.0,232.0,149.0,449.0,117.0,785.0,1540.0,nan,679.0,374.0,270.0,273.0,171.0
SP_Tim,72.0,236.0,220.0,223.0,236.0,238.0,242.0,233.0,227.0,227.0,235.0,220.0,234.0,231.0,244.0,211.0,238.0,216.0,233.0,232.0,254.0,230.0,246.0,242.0,247.0,226.0,256.0,245.0,234.0,238.0,215.0,200.0,257.0,91.0,217.0,147.0,215.0,228.0,194.0,209.0,240.0,204.0,233.0,227.0,219.0,232.0,nan,261.0,238.0,238.0,223.0,222.0
SP_Dur,210.0,63.0,100.0,80.0,80.0,53.0,64.0,81.0,70.0,73.0,73.0,83.0,70.0,92.0,64.0,100.0,78.0,55.0,77.0,67.0,66.0,63.0,56.0,33.0,65.0,61.0,50.0,64.0,57.0,69.0,82.0,67.0,74.0,191.0,71.0,131.0,67.0,67.0,95.0,92.0,64.0,140.0,79.0,64.0,98.0,34.0,nan,71.0,69.0,79.0,52.0,80.0
SP_ROC,0.04733893557422969,0.045454545454545456,0.05,0.055050505050505044,0.05555555555555555,0.047619047619047616,0.05813953488372093,0.05555555555555555,0.045454545454545456,0.058823529411764705,0.0769230769230769,0.06825092453088619,0.05,0.058823529411764705,0.05333333333333334,0.06451612903225806,0.05508760107816711,0.06521739130434782,0.05173951828724353,0.058823529411764705,0.06066176470588235,0.06960784313725488,0.056623931623931624,0.05740740740740741,0.052289815447710185,0.05555555555555555,0.0666666666666667,0.067816091954023,0.045454545454545456,0.05131578947368421,0.05555555555555555,0.041838157195963885,0.05,0.04519774011299435,0.06350806451612903,0.05952380952380952,0.07947368421052631,0.06363636363636362,0.06578947368421052,0.06458333333333333,0.07619738751814223,0.06666666666666667,0.044444444444444446,0.05444444444444446,0.05073593073593074,0.05154639175257732,nan,0.040693847324789666,0.038461538461538464,0.043478260869565216,0.0625,0.044642857142857144
DS_Mag_50,15.0,22.0,13.0,12.0,6.5,17.0,13.0,16.0,8.6,4.1,3.5,8.3,13.0,5.9,13.0,5.4,20.0,8.2,22.0,9.2,9.8,8.3,7.65,17.0,nan,5.9,1.4,15.0,15.0,16.0,6.0,33.5,31.0,12.5,10.0,11.0,4.0,3.2,12.0,5.3,9.7,6.8,16.0,7.8,22.0,nan,nan,40.0,17.0,19.0,6.3,5.085
DS_Mag_90,52.90000000000012,42.30000000000001,26.0,31.0,13.200000000000003,26.0,26.0,20.799999999999997,11.0,6.0,10.200000000000017,11.0,20.700000000000003,25.400000000000034,21.299999999999997,6.849999999999999,28.0,38.0,30.0,14.299999999999997,19.0,26.200000000000017,13.0,59.5,nan,8.2,4.780000000000001,23.0,22.0,20.0,49.599999999999966,129.50000000000003,43.9,21.0,72.0,21.0,16.0,16.0,24.0,8.4,15.0,14.400000000000006,20.200000000000017,25.0,40.0,nan,nan,54.0,23.0,26.0,21.96,25.359999999999992
DS_Tim,282.0,299.0,320.0,303.0,316.0,291.0,306.0,314.0,297.0,300.0,308.0,303.0,304.0,323.0,308.0,311.0,316.0,271.0,310.0,299.0,320.0,293.0,302.0,275.0,312.0,287.0,306.0,309.0,291.0,307.0,297.0,267.0,331.0,282.0,288.0,278.0,282.0,295.0,289.0,301.0,304.0,344.0,312.0,291.0,317.0,266.0,nan,332.0,307.0,317.0,275.0,302.0
DS_Dur_WS,184.0,158.0,173.0,190.0,119.0,201.0,172.0,143.0,176.0,96.0,179.0,174.0,94.0,115.0,98.0,98.0,146.0,193.0,132.0,118.0,119.0,169.0,90.0,236.0,nan,215.0,132.0,151.0,154.0,163.0,145.0,172.0,72.0,118.0,202.0,199.0,167.0,190.0,219.0,210.0,186.0,107.0,179.0,167.0,152.0,nan,nan,137.0,159.0,184.0,165.0,138.0
