Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_Dur_10,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,4.0,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,2.0,nan,4.0,2.0,1.0,2.0,1.0,1.0,nan,nan,1.0,nan,3.0,5.0,nan,nan,2.0,1.0,3.0,1.0,1.0,nan,nan
Peak_Fre_5,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,89.0,170.0,241.0,126.0,84.0,110.0,74.0,24.0,127.0,46.0,95.0,70.0,165.0,56.0,161.0,348.0,96.0,166.0,103.0,138.0,77.0,55.2,168.0,101.0,191.0,102.0,70.9,132.0,100.0,216.0,206.0,110.0,57.6,41.6,27.1
SP_Tim,216.0,240.0,257.0,236.0,218.0,244.0,212.0,228.0,222.0,248.0,240.0,203.0,233.0,226.0,271.0,232.0,227.0,259.0,259.0,240.0,223.0,244.0,243.0,221.0,242.0,247.0,224.0,231.0,233.0,252.0,268.0,217.0,215.0,219.0,240.0
SP_Dur,58.0,61.0,55.0,47.0,55.0,36.0,57.0,48.0,59.0,39.0,48.0,89.0,59.0,49.0,44.0,36.0,55.0,51.0,35.0,36.0,34.0,37.0,40.0,54.0,51.0,41.0,43.0,46.0,45.0,45.0,44.0,54.0,44.0,47.0,29.0
SP_ROC,0.09307359307359311,0.07878411910669975,0.08257575757575758,0.09794520547945204,0.1,0.09838709677419359,0.08759590792838876,0.1176470588235294,0.08712121212121213,0.10112359550561802,0.11250000000000004,0.11010101010101013,0.09090909090909094,0.09090909090909094,0.08333333333333333,0.09999999999999998,0.11117977528089885,0.11579194001874415,0.10526315789473684,0.08333333333333333,0.125,0.08415521927951757,0.0947867298578199,0.08333333333333323,0.0869565217391305,0.09824682359893624,0.11320754716981142,0.07936862244897963,0.08375634517766499,0.10459362292300645,0.08093278463648831,0.08871999832158442,0.09444134796775853,0.08206686930091187,0.09393347734574053
DS_Mag_50,0.7,9.7,3.5,3.4,1.2,1.8,1.2,1.0,1.7,0.91,0.915,0.81,1.1,0.76,1.5,1.7,2.1,4.25,2.4,1.5,0.95,1.32,1.4249999999999998,1.335,1.09,1.98,1.2850000000000001,1.17,1.28,7.52,1.86,0.875,0.85,0.85,0.805
DS_Mag_90,1.2,21.0,7.5,5.91,3.0,5.1200000000000045,2.8,2.1,3.7,1.2599999999999993,1.4,4.5,1.7,11.0,10.700000000000017,5.0,10.5,14.0,8.48,2.1,6.068,7.89,3.253,10.4,3.065999999999998,4.39,2.8520000000000025,5.168000000000001,4.55,14.96,5.825,1.736,1.11,3.6,3.6
DS_Tim,274.0,301.0,312.0,283.0,273.0,280.0,269.0,276.0,281.0,287.0,288.0,292.0,292.0,275.0,315.0,268.0,282.0,310.0,294.0,276.0,257.0,281.0,283.0,275.0,293.0,288.0,267.0,277.0,278.0,297.0,312.0,271.0,259.0,266.0,269.0
DS_Dur_WS,131.0,286.0,79.0,260.0,179.0,263.0,240.0,241.0,242.0,255.0,216.0,228.0,219.0,244.0,164.0,142.0,246.0,246.0,233.0,252.0,245.0,241.0,238.0,282.0,145.0,203.0,268.0,253.0,263.0,245.0,216.0,138.0,231.0,211.0,208.0
